등급,어휘,표준동형어번호,품사,어종,원어,의미,분야
2등급,고전,2,명사,한자어,古典,"「1」옛날의 의식(儀式)이나 법식(法式).
「2」오랫동안 많은 사람에게 널리 읽히고 모범이 될 만한 문학이나 예술 작품.
「3」고대 그리스와 로마의 대표적 저술.
「4」옛날의 서적이나 작품.",일반어/일반어/일반어/일반어
2등급,고집불통,0,명사,한자어,固執不通,조금도 융통성이 없이 자기주장만 계속 내세우는 일. 또는 그런 사람.,일반어
2등급,고층,0,명사,한자어,高層,"「1」여러 층으로 된 것의 높은 층.
「2」건물의 층수가 많은 것.",일반어/일반어
2등급,고통,0,명사,한자어,苦痛,몸이나 마음의 괴로움과 아픔.,일반어
2등급,곡식,0,명사,한자어,穀食,"사람의 식량이 되는 쌀, 보리, 콩, 조, 기장, 수수, 밀, 옥수수 따위를 통틀어 이르는 말.",일반어
2등급,곤란,0,명사,한자어,困難▽,사정이 몹시 딱하고 어려움. 또는 그런 일.,일반어
2등급,곤란하다,0,형용사,혼종어,困難▽하다,사정이 몹시 딱하고 어렵다.,일반어
2등급,골대,0,명사,혼종어,goal대,"축구, 핸드볼, 럭비 따위의 구기 경기에 쓰는 골문의 양쪽 기둥.",전문어(체육)
2등급,골인,2,명사,외래어,▼goal in,"「1」골이나 바스켓 안에 공이 들어가는 것.
「2」경주에서, 결승점에 도착하는 일.",전문어(체육)/전문어(체육)
2등급,골치,0,명사,고유어,,‘머리01’ 또는 ‘머릿골02’을 속되게 이르는 말.,일반어
2등급,골탕,1,명사,고유어,,한꺼번에 되게 당하는 손해나 곤란.,일반어
2등급,골프,0,명사,외래어,golf,일정한 장소에서 골프채로 공을 쳐서 가장 적은 타수로 홀에 넣는 경기. 9홀 또는 18홀을 돈다. 각 홀을 돌며 경기해서 총타수를 계산하는 스트로크 플레이와 각 홀마다 승패를 겨루는 매치 플레이의 형식이 있다.,전문어(체육)
2등급,곱셈,0,명사,고유어,,몇 개의 수나 식 따위를 곱하여 계산함. 또는 그런 셈.,전문어(수학)
2등급,곱하기,0,명사,고유어,,곱셈을 함.,전문어(수학)
2등급,곱하다,0,동사,고유어,,둘 이상의 수 또는 식을 두 번이나 그 이상 몇 번 되짚어 합치다.,전문어(수학)
2등급,곳곳,0,명사,고유어,,여러 곳 또는 이곳저곳.,일반어
2등급,공감,0,명사,한자어,共感,"남의 감정, 의견, 주장 따위에 대하여 자기도 그렇다고 느낌. 또는 그렇게 느끼는 기분.",일반어
2등급,공감하다,0,동사,혼종어,共感하다,"남의 감정, 의견, 주장 따위에 대하여 자기도 그렇다고 느끼다.",일반어
2등급,공개,0,명사,한자어,公開,"어떤 사실이나 사물, 내용 따위를 여러 사람에게 널리 터놓음.",일반어
2등급,공개적,0,명사/관형사,한자어,公開的,"[Ⅰ]어떤 사실이나 사물, 내용 따위를 여러 사람에게 터놓는 것.
[Ⅱ]어떤 사실이나 사물, 내용 따위를 여러 사람에게 터놓는.",일반어/일반어
2등급,공개하다,0,동사,혼종어,公開하다,"어떤 사실이나 사물, 내용 따위를 여러 사람에게 널리 터놓다.",일반어
2등급,공군,2,명사,한자어,空軍,주로 공중에서 공격과 방어의 임무를 수행하는 군대.,전문어(군사)
2등급,공기,1,명사,고유어,,"「1」밤톨만 한 돌 다섯 개 또는 여러 개를 땅바닥에 놓고, 일정한 규칙에 따라 집고 받는 아이들의 놀이. 또는 그 돌들. 예전에는 작고 동그란 돌을 썼는데, 요즘엔 플라스틱 따위로 만든 것을 주로 사용한다.
「2」헝겊에 콩 따위를 싸서 만든 공 두 개 이상을 가지고 땅에 떨어지지 않게 하나씩 번갈아 가며 공중에 올리며 받는 놀이.",일반어/일반어
2등급,공기놀이,0,명사,고유어,,공기를 가지고 노는 아이들 놀이.,일반어
2등급,공놀이하다,0,동사,고유어,,공을 가지고 놀다.,일반어
