등급,어휘,품사,어종,원어,의미,日本語訳,定義,外来語_カタカナ候補,外来語_原語候補,品質フラグ,tags
1등급,외롭다,형용사,고유어,,홀로 되거나 의지할 곳이 없어 쓸쓸하다.,,홀로 되거나 의지할 곳이 없어 쓸쓸하다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,외우다,동사,고유어,,"「1」말이나 글 따위를 잊지 않고 기억하여 두다.
「2」글이나 말을 기억하여 두었다가 한 자도 틀리지 않게 그대로 말하다.",,"「1」말이나 글 따위를 잊지 않고 기억하여 두다.
「2」글이나 말을 기억하여 두었다가 한 자도 틀리지 않게 그대로 말하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,외치다,동사,고유어,,"「1」남의 주의를 끌거나 다른 사람에게 어떤 행동을 하도록 하기 위하여 큰 소리를 지르다.
「2」의견이나 요구 따위를 강하게 주장하다.",,"「1」남의 주의를 끌거나 다른 사람에게 어떤 행동을 하도록 하기 위하여 큰 소리를 지르다.
「2」의견이나 요구 따위를 강하게 주장하다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,왼발,명사,고유어,,왼쪽 발.,,왼쪽 발.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,왼손,명사,고유어,,왼쪽 손.,,왼쪽 손.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,왼쪽,명사,고유어,,북쪽을 향하였을 때의 서쪽과 같은 쪽.,,북쪽을 향하였을 때의 서쪽과 같은 쪽.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,왼팔,명사,고유어,,왼쪽 팔.,,왼쪽 팔.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요,관형사,고유어,,"「1」‘이05[Ⅱ]「1」’를 낮잡아 이르거나 귀엽게 이르는 말.
「2」‘이05[Ⅱ]「2」’를 낮잡아 이르거나 귀엽게 이르는 말.",,"「1」‘이05[Ⅱ]「1」’를 낮잡아 이르거나 귀엽게 이르는 말.
「2」‘이05[Ⅱ]「2」’를 낮잡아 이르거나 귀엽게 이르는 말.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,요거,대명사,고유어,,"‘요것’을 구어적으로 이르는 말. ‘요것’에 서술격 조사 ‘이다’가 붙은 형태인 ‘요것이다’는 ‘요거다’로 줄어서 ‘요거’의 형태가 유지되고, ‘요것’에 주격 조사 ‘이’나 보격 조사 ‘이’가 붙은 형태인 ‘요것이’는 ‘요게’의 형태로 바뀐다.",,"‘요것’을 구어적으로 이르는 말. ‘요것’에 서술격 조사 ‘이다’가 붙은 형태인 ‘요것이다’는 ‘요거다’로 줄어서 ‘요거’의 형태가 유지되고, ‘요것’에 주격 조사 ‘이’나 보격 조사 ‘이’가 붙은 형태인 ‘요것이’는 ‘요게’의 형태로 바뀐다.",,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요것,대명사,고유어,,"「1」‘이것「1」’을 낮잡아 이르거나 귀엽게 이르는 말.
「2」‘요 사람’을 낮잡아 이르는 삼인칭 대명사.
「3」‘요 아이’를 귀엽게 이르는 삼인칭 대명사.",,"「1」‘이것「1」’을 낮잡아 이르거나 귀엽게 이르는 말.
「2」‘요 사람’을 낮잡아 이르는 삼인칭 대명사.
「3」‘요 아이’를 귀엽게 이르는 삼인칭 대명사.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,요기,대명사,고유어,,"「1」말하는 이에게 가까운 곳을 가리키는 지시 대명사. ‘여기01「1」’보다 가리키는 범위가 좁은 느낌을 준다.
「2」바로 앞에서 이야기한 대상을 가리키는 지시 대명사. ‘여기01「2」’보다 가리키는 범위가 좁은 느낌을 준다.",,"「1」말하는 이에게 가까운 곳을 가리키는 지시 대명사. ‘여기01「1」’보다 가리키는 범위가 좁은 느낌을 준다.
「2」바로 앞에서 이야기한 대상을 가리키는 지시 대명사. ‘여기01「2」’보다 가리키는 범위가 좁은 느낌을 준다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,요런,관형사,고유어,,"[Ⅰ]상태, 모양, 성질 따위가 요러한.
[Ⅱ]‘요리한’이 줄어든 말.",,"[Ⅰ]상태, 모양, 성질 따위가 요러한.
[Ⅱ]‘요리한’이 줄어든 말.",,,multi_gloss|native_manual_review|multi_pos|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:multi_pos risk:needs_manual_review
