순위,단어,품사,품사 이름,품사 (일본어),풀이（意味）,등급
2017,출산,명,명사,名詞,出産,C
29478,출석하다,동,동사,動詞,出席-,C
1091,출신,명,명사,名詞,出身,C
2514,출연,명,명사,名詞,出演,C
2272,출연하다,동,동사,動詞,出演-,B
3955,출입,명,명사,名詞,出入,B
17710,출입국,명,명사,名詞,出入國,C
6150,출입문,명,명사,名詞,出入門,B
5686,출장,명,명사,名詞,出張,B
8956,출퇴근,명,명사,名詞,出退勤,C
5828,출판,명,명사,名詞,出版,C
4564,출판사,명,명사,名詞,出版社,C
5829,출현하다,동,동사,動詞,出現-,C
1458,춤,명,명사,名詞,,A
5154,춤추다,동,동사,動詞,,A
1654,춥다,형,형용사,形容詞,,A
1595,충격,명,명사,名詞,衝擊,B
4947,충격적,명,명사,名詞,衝擊的,C
7933,충고,명,명사,名詞,忠告,C
4243,충돌,명,명사,名詞,衝突,C
9377,충돌하다,동,동사,動詞,衝突-,C
1624,충분하다,형,형용사,形容詞,充分-,B
1207,충분히,부,부사,副詞,充分-,B
,충청도,고,고유 명사,固有名詞,忠淸道,B
2671,취미,명,명사,名詞,趣味,A
5983,취소,명,명사,名詞,取消,B
5421,취소하다,동,동사,動詞,取消-,B
5422,취업,명,명사,名詞,就業,C
5062,취재,명,명사,名詞,取材,C
4844,취직,명,명사,名詞,就職,B
1113,취하다,동,동사,動詞,"取-, 醉-",B
3893,취향,명,명사,名詞,趣向,C
922,층,명,명사,名詞,層,A
8960,치과,명,명사,名詞,齒科,B
366,치다,동,동사,動詞,"폭풍우가 ~, 얼굴을 ~, 그물을 ~, 셈을 맞추다",A
1542,치료,명,명사,名詞,治療,B
10286,치료법,명,명사,名詞,治療法,C
3718,치료하다,동,동사,動詞,治療-,B
1372,치르다,동,동사,動詞,,C
2457,치마,명,명사,名詞,,A
4948,치아,명,명사,名詞,齒牙,C
7649,치약,명,명사,名詞,齒藥,A
3134,치우다,"동, 보","동사, 보조 용언","動詞, 補助用言",,B
2035,치즈,명,명사,名詞,cheese,B
147,친구,명,명사,名詞,親舊,A
6318,친절,명,명사,名詞,親切,B
3894,친절하다,형,형용사,形容詞,親切-,A
4313,친정,명,명사,名詞,親庭,C
2458,친척,명,명사,名詞,親戚,B
3209,친하다,형,형용사,形容詞,親-,B
8246,친해지다,동,동사,動詞,親-,C
14947,칠,수,수사,数詞,七,A
19607,칠십,수,수사,数詞,七十,A
1404,칠월,명,명사,名詞,七月,A
10833,칠판,명,명사,名詞,漆板,A
5423,칠하다,동,동사,動詞,漆-,C
3056,침,명,명사,名詞,~을 뱉다,C
1670,침대,명,명사,名詞,寢臺,A
2486,침묵,명,명사,名詞,沈默,C
6319,침실,명,명사,名詞,寢室,B
7397,침착하다,형,형용사,形容詞,沈着-,C
8589,칫솔,명,명사,名詞,齒-,A
2947,칭찬,명,명사,名詞,稱讚,B
5295,칭찬하다,동,동사,動詞,稱讚-,C
2184,카드,명,명사,名詞,card,A
9816,카레,명,명사,名詞,curry,B
2298,카메라,명,명사,名詞,camera,A
3895,카운터,명,명사,名詞,계산대,B
2848,카페,명,명사,名詞,&프cafe,B
3719,칸,명,명사,名詞,,C
2273,칼,명,명사,名詞,베는 도구,A
14950,칼국수,명,명사,名詞,,C
7398,캄캄하다,형,형용사,形容詞,,C
,캐나다,고,고유 명사,固有名詞,Canada,A
5985,캐릭터,명,명사,名詞,character,C
7134,캠퍼스,명,명사,名詞,campus,B
4747,캠페인,명,명사,名詞,campaign,C
886,커다랗다,형,형용사,形容詞,,B
1510,커지다,동,동사,動詞,,B
5987,커튼,명,명사,名詞,curtain,B
383,커피,명,명사,名詞,coffee,A
9817,컨디션,명,명사,名詞,condition,C
4658,컬러,명,명사,名詞,color,C
282,컴퓨터,명,명사,名詞,computer,A
1414,컵,명,명사,名詞,cup,A
37160,케첩,명,명사,名詞,ketchup,C
2427,켜다,동,동사,動詞,성냥을 ~,A
4314,켜지다,동,동사,動詞,,B
1335,코,명,명사,名詞,,A
8248,코끝,명,명사,名詞,,C
10292,코끼리,명,명사,名詞,,B
2428,코너,명,명사,名詞,corner,B
2244,코드,명,명사,名詞,code,C
6915,코미디,명,명사,名詞,comedy,C
3300,코스,명,명사,名詞,course,C
9819,코스모스,명,명사,名詞,cosmos,C
5296,코치,명,명사,名詞,coach,C
9380,코트,명,명사,名詞,court,C
7939,코피,명,명사,名詞,,B
10293,콘서트,명,명사,名詞,concert,B
5567,콜라,명,명사,名詞,cola,A
2849,콤플렉스,명,명사,名詞,complex,B
2226,콩,명,명사,名詞,,B
4027,콩나물,명,명사,名詞,,B
3956,쾌감,명,명사,名詞,快感,C
5687,쿠데타,명,명사,名詞,,C
1054,크기,명,명사,名詞,,B
39,크다,"형, 동","형용사, 동사","形容詞, 動詞",,A
10839,크리스마스,명,명사,名詞,Christmas,A
4471,크림,명,명사,名詞,cream,C
8591,큰길,명,명사,名詞,,B
16252,큰딸,명,명사,名詞,,C
10294,큰소리,명,명사,名詞,,B
10295,큰아들,명,명사,名詞,,C
14960,큰아버지,명,명사,名詞,,C
29578,큰어머니,명,명사,名詞,,C
2245,큰일,명,명사,名詞,중대한 일,B
7651,큰절,명,명사,名詞,,C
17752,클래식,명,명사,名詞,classic,C
5830,클럽,명,명사,名詞,club,C
1124,키,명,명사,名詞,신장,A
5831,키스,명,명사,名詞,kiss,C
980,키우다,동,동사,動詞,,B
9823,킬로,의,의존 명사,依存名詞,kilo,B
2784,킬로그램,의,의존 명사,依存名詞,kilogram,B
1997,킬로미터,의,의존 명사,依存名詞,kilometer,B
