韓国語,品詞,日本語訳,定義,target_codes
코감기,名詞,はなかぜ【鼻風邪】,鼻がつまり、鼻水が出る症状の風邪。,83256
코끼리,名詞,ぞう【象】,非常に長い鼻と二つの大きい奥歯を持っている、陸地動物の中で一番大きい動物。,28148
코미디언,名詞,コメディアン,喜劇を専門にする役者。,81160
코코아,名詞,ココア | ココア,カカオの豆をひいて粉末にした茶色の粉。 | カカオの豆をひいて粉末にした茶色の粉にお湯を入れて飲む飲み物。,81213
콘서트,名詞,コンサート。えんそうかい【演奏会】。おんがくかい【音楽会】,楽器を演奏したり歌を歌って聴衆に聞かせる催し。,28165
콜라,名詞,コーラ,甘味や特有の香りがする黒色の炭酸飲料。,17238
콧물,名詞,はなみず【鼻水】。はなじる・ びじゅう【鼻汁】。みずばな【水洟】,鼻から出る粘ついた液体。,81350
콩,名詞,まめ 【豆・荳・菽】,豆腐やテンジャンなどの材料として使われる、黄色や黒の薄い皮で覆われている円形の穀物。,72171
쿠션,名詞,クッション | クッション | クッション,いすや乗り物の座席などで、座り心地を良くするために羽毛やばねなどを中に入れて作ったもの。 | 背もたれの部分に、衝撃から腰を保護するために綿やスポンジなどを入れてふわふわとした弾力をもたせたもの。 | 玉突き台で、玉が当たる内側の縁。,81147
쿠키,名詞,クッキー | クッキー,小麦粉に色々な材料を加えて焼いた洋菓子。 | コンピューターで、Webサイトに訪問した記録やパスワードなどの情報を保管し、次回に同じWebサイトにアクセスする時に前回の情報を戻すファイル。,81154
쿠폰,名詞,クーポン。かいすうけん【回数券】 | クーポン。クーポンけん【クーポン券】,1枚ずつ切り取って現金のように使用する券。 | 商品に付いている、優待券や景品交換券。,81164
크기,名詞,おおきさ【大きさ】。サイズ,物のかさ、広さ、量などが大きい程度。,62458
크다,動詞/形容詞,そだつ【育つ】。せいちょうする【成長する】 | そだつ【育つ】。せいちょうする【成長する】。おおきくなる【大きくなる】 | せいちょうする【成長する】。はってんする【発展する】 | おおきい【大きい】。たかい【高い】 | おおきい【大きい】 | おおきい【大きい】。つよい【強い】 | おおきい【大きい】。ひろい【広い】 | おおきい【大きい】 | おおきい【大きい】 | おおきい【大きい】。つよい【強い】。ひどい | おおきい【大きい】。ひろい【広い】 | ゆうかんだ【勇敢だ】 | おおきい【大きい】。おもい【重い】 | おおきい【大きい】。おもい【重い】 | おおきい【大きい】。たかい【高い】 | おおきい【大きい】 | おおきい【大きい】。あらい【荒い】 | おおきい【大きい】 | おおきい【大きい】。じゅうようだ【重要だ】 | おおきい【大きい】。いだいだ【偉大だ】。えらい【偉い】,動物・植物が育つ。 | 人が育って大人になる。 | 水準や地位などが高くなる。 | 長さ・広さ・高さ・かさなどが普通の水準を超える。 | 履物や衣服などが身体に合う寸法以上である。 | 物事の規模・範囲・程度・力などが普通の水準を超える。 | 人の品性が立派で能力に長けている。 | 金額の規模が大きいか単位が大きい。 | 音・声の強さの程度が高い。 | ある出来事から受ける影響や衝撃などが大きい。 | 思考の範囲や了見が広い。 | 度胸が据わっていて勇敢である。 | 責任が重いか、重要である。 | 過ちや罪の程度がとてもひどくて重い。 | 可能性などが多い。 | 「範囲を広げていうと」、「ひいては・さらには｣という意を表す語。 | 「大まかに｣、「大概｣という意を表す語。 | 「非常に」、「とても」、「たいへん｣という意を表す語。 | 「重要だ」、「意義がある｣という意を表す語。 | 立派であるか、優れている。,"66584,66586"
크리스마스이브,名詞,クリスマスイブ。イブ。せいや【聖夜】,クリスマスの前日である12月24日の夜。,81396
크리스마스트리,名詞,クリスマスツリー,クリスマスのとき、星飾り・鐘・豆電球などの様々な飾りで装飾して立てる木。,90008
큰-,接辞,いちばんうえの【一番上の】,「長者」という意を付加する接頭辞。,83195
큰누나,名詞,ちょうし【長姉】,姉が二人以上いるとき、いちばん上の姉。,81416
큰소리,名詞,おおごえ【大声】。どなりごえ【怒鳴り声】 | おおくち・おおぐち【大口】。たいげん・だいげん【大言】 | おおごえ【大声】,声を張り上げて叱りつける声。 | 自信満々に偉ぶったり大げさに膨らませて言う言葉。 | 従順にならず、相手に堂々と自分の考えを示して言う言葉。,28172
큰아버지,名詞,おじ【伯父】。おじさん【伯父さん】 | おじ【伯父】。おじさん【伯父さん】,父の長兄。または、その人を呼ぶ語。 | 父の兄。または、その人を呼ぶ語。,28175
큰어머니,名詞,おば【伯母】。おばさん【伯母さん】 | おば【伯母】。おばさん【伯母さん】,父の長兄の妻を指したり呼ぶ語。 | 父の兄の妻を指したり呼ぶ語。 | 庶子が父の本妻を指したり呼ぶ語。,28178
큰언니,名詞,ちょうし【長姉】,姉が二人以上いるとき、いちばん上の姉。,81537
큰오빠,名詞,ちょうけい【長兄】,兄が二人以上いるとき、いちばん上の兄。,81538
큰형,名詞,ちょうけい【長兄】,兄が二人以上いるとき、いちばん上の兄。,81655
클럽,名詞,クラブ。どうこうかい【同好会】,共通の趣味活動や社交のために組織された団体。,49263
키,名詞,せ【背】。せたけ【背丈】。しんちょう【身長】。みのたけ【身の丈】 | たかさ【高さ】,人や動物がまっすぐに立った時のかかとから頭頂までの体の高さ。 | 物や植物などの高さ。,20269
키우다,動詞,そだてる【育てる】。かう【飼う】。しいくする【飼育する】。つちかう【培う】。やしなう【養う】 | おおきくする【大きくする】。ひろげる【広げる】。たかめる【高める】。のばす【伸ばす】。ふやす【増やす】 | そだてる【育てる】。そだてあげる【育て上げる】。きょういくする【教育する】 | そだてる【育てる】。つちかう【培う】。はぐくむ【育む】,動物・植物に手をかけて育つようにする。 | 長さ・広さ・高さ・かさなどの程度を大きくする。 | 人を教えて特別な能力のある人間になるようにする。 | ある気運や力を養い、大きくする。,66587
키위,名詞,キウイ。キーウィ。キウイフルーツ,卵の形をした果実の表面に褐色の毛があり、果肉は真ん中は黄色でその周りは淡緑色で、黒い種子が並んでいる果物。,81824
킬로,依存名詞,キロ。キログラム | キロ。キロメートル,重さの単位。 | 長さの単位。,72175
킬로그램,依存名詞,キログラム。キロ,重さの単位。,72176
킬로미터,依存名詞,キロメートル。キロ,長さの単位。,72177
타다,動詞,もえる【燃える】。ねんしょうする【燃焼する】 | やける【焼ける】。ひやけする【日焼けする】 | こげる【焦げる】 | あせる【焦る】。こがれる【焦がれる】。いらだつ【苛立つ】。いらいらする【苛苛する】。もむ【揉む】 | かんそうする【乾燥する】。かれる【枯れる】。ひからびる【干からびる】 | のる【乗る】 | のる【乗る】。そう【沿う】。つたう【伝う】 | のぼる【登る】。つたう【伝う】 | のる【乗る】。つたう【伝う】 | のる【乗る】。じょうじる【乗じる】。りようする【利用する】 | のる【乗る】 | すべる【滑る】 | のる【乗る】 | いれる【入れる】。まぜる【混ぜる】。くわえる【加える】。わる【割る】,火種や高熱によって炎が立ったり火がついて炎が広がる。 | 皮膚が日光に長時間当たり、黒く変わる。 | 熱い熱を受けて、黒色になるほどに焼けすぎる。 | 落ち着きを失い、とても気が急く。 | 水分がなくなって乾き切る。 | 乗り物の中に入ったり、移動のために動物の上に上がる。 | 何かを経路にし、それに沿って移動する。 | 傾斜のある場所や木、絶壁などを上り下りする。 | 人や物の上に身を置く。 | ある条件や時間、機会などを利用する。 | 風や潮流、電波などの動きに沿って移動する。 | 地面が滑らかな所で器具を利用して滑走する。 | ブランコやシーソーなどの遊具の上に身を置いて動く。 | 多量の液体に小量の液体や粉末を入れて混ぜる。,"91122,17160,91123"
타워,名詞,タワー,塔のように高くて先端が尖っている形に造った建築物。,79710
타이,名詞,タイ。ネクタイ | タイ。どうてん【同点】 | タイ。どうてん【同点】,主としてスーツを着る時、ワイシャツの襟もとに巻いて正面で結ぶ細長い布。 | 運動競技で、得た点数が以前の記録または相手の点数と同じであること。 | 運動競技で、最高記録と同じ記録。,79737
탁구,名詞,たっきゅう【卓球】。ピンポン,四角い卓球台の真ん中にネットを立てて、相手コートに向かってラケットでボールを打ち合う室内スポーツ競技。,49270
태권도,名詞,テコンドー【跆拳道】,韓国の伝統武術に基づいた格技で、拳と足などを用いて蹴り、突き、防ぎなどの技で攻撃と防御をするスポーツ競技。,58168
태도,名詞,たいど【態度】。しせい【姿勢】 | たいど【態度】。たちば【立場】,身体の動きや物事に対する心が表に現れた姿勢。 | 特定の物事に対する立場や考え。,62414
태어나다,動詞,うまれる【生まれる】。しゅっしょうする・しゅっせいする【出生する】。たんじょうする【誕生する】,人間や動物の子が一定の形となって母親の胎内から出る。,72180
태풍,名詞,たいふう【台風】,主に7月から9月にかけて太平洋から韓国や日本などのアジア大陸の東部に向かって近づいてくる、激しい暴風雨を伴う風。,72181
택배,名詞,たくはい【宅配】。たくはいびん【宅配便】,郵便や荷物、商品などを、顧客の希望する所まで直接配達すること。,80833
택시,名詞,タクシー,料金を受け取って客の希望に応じて目的地まで客を乗せて運送する営業用乗用車。,18772
터미널,名詞,ターミナル,飛行機・汽車・バスなどの交通路線が集中している、主に最初の駅か終着駅。,72184
테니스,名詞,テニス。ていきゅう【庭球】,ネットを挟んでラケットでボールを打ち合うスポーツ競技。,37605
테니스장,名詞,テニスコート。ていきゅうじょう【庭球場】,テニスをする競技場。,80136
테이블,名詞,テーブル,支える脚があり、上が平らで物を置くことができる机状の家具。,72186
텔레비전,名詞,テレビジョン。テレビ,放送局が電波で送信する映像と音声を受信して、画面に映し出す機械。,27373
토끼,名詞,うさぎ【兎】,耳が長く、後肢が前肢より発達して、しっぽは短い動物。,89388
토마토,名詞,トマト,球状のこぶしサイズの実で、緑色で熟すと赤くなる野菜。,89390
토요일,名詞,どようび【土曜日】。どよう【土曜】,月曜日を基準とした１週間の6日目。,30214
통,名詞,たま【玉】 | こ【個】。たま【玉】,よく熟した白菜やスイカ、カボチャなどの実。 | 白菜やスイカ、カボチャなどを数える単位。,81468
통장,名詞,つうちょう【通帳】,金融機関が預金をした人に発行し、預け入れや引き出しの内訳を記入する帳面。,71295
통화,名詞,つうわ【通話】 | つうわ【通話】,電話で話をすること。 | 電話で話をした回数を数えるのに用いる単位。,82044
통화되다,動詞,つながる【繋がる】,電話で話をするようになる。,82049
통화하다,動詞,つうわする【通話する】,電話で話をする。,82053
퇴근,名詞,たいきん【退勤】,職場で勤務が終わって、勤め先から退出すること。,71296
퇴근하다,動詞,たいきんする【退勤する】,職場で勤務が終わって、勤め先から退出する。,82103
퇴원,名詞,たいいん【退院】,一定期間入院して治療を受けていた患者が、病院から出ること。,82873
퇴원하다,動詞,たいいんする【退院する】,一定期間入院して治療を受けていた患者が、病院から出る。,82874
투피스,名詞,ツーピース,上着とスカートが同じ布で作られて一組になっている婦人服。,82165
튀기다,動詞,あげる【揚げる】 | はじけさせる【弾けさせる】,熱した油の中に材料を入れて、天ぷら・フライにする。 | 乾燥させた穀物の粒に熱を加えて膨らます。,82380
튀김,名詞,てんぷら【天ぷら】。あげもの【揚げ物】。フライ。フリッター | てんぷら【天ぷら】。あげもの【揚げ物】。フライ。フリッター,魚・肉・野菜などに小麦粉の衣をつけ、油で揚げたもの。 | 「油で揚げたもの」の意を表す語。,82383
트럭,名詞,トラック,貨物を運搬する自動車。,82436
특별하다,形容詞,とくべつだ【特別だ】,普通と違う。,71297
특별히,副詞,とくべつに【特別に】,普通とは違って。,71298
특히,副詞,とくに【特に】,普通とは違って。,71300
튼튼하다,形容詞,じょうぶだ【丈夫だ】。がんじょうだ【頑丈だ】 | じょうぶだ【丈夫だ】。がんじょうだ【頑丈だ】。がっちりしている | じょうぶだ【丈夫だ】。つよい【強い】。かたい【固い】 | つよい【強い】。ふかい【深い】,非常に硬くて強い。 | 人の体・骨・歯などが硬くて健康だ。 | 組織・機構などがしっかりしていて崩れにくい状態だ。 | 思想や精神が揺るぎないほど固くて確実だ。,71480
틀다,動詞,ひねる【捻る】。まわす【回す】。ねじる | まわす【回す】。ひねる【捻る】 | ひねる【捻る】 | つける【付ける】。かける【掛ける】 | つける【付ける】。かける【掛ける】 | さまたげる【妨げる】。じゃまする【邪魔する】。ぼうがいする【妨害する】 | ゆう【結う】。ゆいあげる【結い上げる】 | つくる【作る】 | うつ【打つ】 | とぐろをまく【とぐろを巻く】 | くむ【組む】。かく【掛く】 | かえる【変える】。まわす【回す】。まがる【曲がる】,体や体の一部を捻って回す。 | ネジ・つまみ・取っ手などを回す。 | 水道のような装置を作動させて水を出す。 | 機械・装置を動かす。 | 機器などを作動させて音が聞こえるようにしたり、映像が見えるようにする。 | 物事の進行に支障が起こるようにしたり、だめになるようにする。 | まげなど、髪の毛を頭の上にまとめて束ねる。 | わら・草の茎などでねぐら・巣・むしろなどをつくる。 | 打綿機で綿をほぐす。 | 蛇などが、体を渦巻き状に巻く。 | 体を動かして姿勢をつくる。 | ある方向に向かって進んでいる物体を、他の方向に向かうようにする。,89816
틀리다,動詞,まちがう【間違う】。まちがえる【間違える】 | だめだ【駄目だ】 | だめだ【駄目だ】,計算・答え・事実などが合っていない。 | 望んでいたり、しようとしたりしていた事がうまくいかない。 | 心や行動などがまっすぐでなく、ひねくれている。,71481
티,名詞,ティーシャツ,T字型の半袖のシャツ。,82664
티브이,名詞,テレビ。テレビジョン,放送局が電波で送る映像と音声を受信して、画面に映し出す機械。,71302
티셔츠,名詞,ティーシャツ,T字型の半袖のシャツ。,82674
티켓,名詞,チケット | チケット,入場券や乗車券などの切符。 | 特定のものができる資格。また、その証明書。,82678
팀,名詞,チーム。くみ【組】 | チーム,ある目的のために協力して行動するグループ。 | 一つの組は二人以上からなり、二組に分かれて行われる運動競技の組。,20274
파,名詞,ねぎ【葱】,中空で細長い葉の先端はとがり、独特な匂いや味を持っていて薬味としてよく使う野菜。,71303
파란색,名詞,あおいろ【青色】。あおいいろ【青い色】。ブルー,晴れた空や澄んだ海のような色。,71305
파랗다,形容詞,あおい【青い】 | あおい【青い】,晴れた空や澄んだ海のように、明るくて鮮やかに青い。 | 寒さ・恐怖などで顔や唇に血の気がなくなる。,71306
파이팅,感動詞,ファイト,スポーツで、「頑張れ」「しっかりやれ」などの意のかけ声。,82434
파인애플,名詞,パイナップル,熱帯・亜熱帯で栽培され、中が黄色で甘い味がする松かさ状の果実。,80532
파티,名詞,パーティー,社交のための、または何かを記念するための宴会や集まり。,26907
판다,名詞,パンダ,体が大きく、頭と胴体の体毛は白く、目の周りと耳や足などの毛は黒い、クマ科の動物。,80710
팔,名詞/数詞/冠形詞,うで【腕】 | て【手】 | はち【八】 | はち【八】 | はち【八】,肩から手首までの部分。 | 人の手のように本体から長く伸びて上下・左右に動く機械の部分。 | 7に1を足した数。 | 八つの。 | 8番目の。,"32794,31598,31629"
팔 운동,名詞（句）,うでのうんどう【腕の運動】,腕の筋肉や機能などを強化するために、腕を動かしてする運動。,82836
팔다,動詞,うる【売る】 | うる【売る】 | うる【売る】。ばいしゅんする【売春する】 | そらす【逸らす】。わきみする【脇見する】。きをとられる【気を取られる】 | かたる【騙る】。うる【売る】 | うらぎる【裏切る】。うりわたす【売り渡す】 | かう【買う】,代金と引き換えに品物や権利を相手に渡したり労働力を提供したりする。 | 金銭を受け取って人間を物のように取り引きする。 | 体や顔を稼ぎの手段として使う。 | 集中すべきところに目を向けず、他のことに注意が向いてしまう。 | 自分の利益のために、ある物を利用したり借りたりして口実を作る。 | 正しくない利益のために、良心や節操を捨てる。 | 金を払って穀物を買う。,71482
팔리다,動詞,うられる【売られる】。うれる【売れる】 | うられる【売られる】。じんしんばいばいされる【人身売買される】 | それる【逸れる】。わきみする【脇見する】。きをとられる【気を取られる】 | うれる【売れる】。ゆうめいになる【有名になる】,代金と引き換えに品物や権利が相手に渡されたり労働力が提供されたりする。 | 金銭を受け取って、人が物と同じように売り買いされる。 | 集中すべきところに目を向けず、他のことに注意が向いてしまう。 | 顔や名前が広く知られる。,71483
팔십,数詞/冠形詞,はちじゅう【八十】 | はちじゅう【八十】 | はちじゅう【八十】,10の8倍の数。 | 八十の。 | 80番目の。,"26908,89597"
팔월,名詞,はちがつ【八月】,一年の8番目の月。,30188
팔찌,名詞,ブレスレット。バングル。うでわ【腕輪】,金・銀・皮などでつくられた、手腕にはめる装飾品。,82830
팝,名詞,ポップス。ポップミュージック,多くの人が楽しむ大衆向けの西洋音楽。,82826
팝송,名詞,ポップソング,西洋の大衆向けの音楽。,80677
팝콘,名詞,ポップコーン,トウモロコシの実を炒ってはじけさせ、味付けをしたもの。,80681
패키지,名詞,パッケージ | パッケージ。パック。セット,包んで郵便で送る物品。 | 関係のある物品をひとまとめにした商品。,80997
팬,名詞,パン,食べ物を炒めたり焼いたりするのに用いる、取っ手のついた平なべ。,71315
펜,名詞,ペン | ペン | ペン,インキや墨などをつけ、字を書く筆記具。 | ボールペンやサインペンなどの筆記具。 | (比喩的に)文章を書くこと。,81973
펴다,動詞,ひろげる【広げる】。ひらく【開く】 | のばす【伸ばす】 | のばす【伸ばす】 | はる【張る】。いいはる【言い張る】 | しく【敷く】 | はる【張る】。ひろげる【広げる】。くりひろげる【繰り広げる】,畳んだり巻いてあるものを開く。 | しわなどをなくして、平らにする。 | 曲がったり、縮んだりしているものを、真っ直ぐにする。 | 考えや意見、感情などを自由に表現したり主張する。 | 一面に平らに広げたり、並べたりする。 | 勢力や作戦、政策などを展開する。,71484
편도,名詞,かたみち【片道】,往路か復路かの一方。また、その道。,82008
편리,名詞,べんり【便利】,利用しやすく、都合の良いこと。,82024
편리하다,形容詞,べんりだ【便利だ】,利用しやすく、都合が良い。,71329
편안,名詞,きらく【気楽】。ここちよさ【心地よさ】。へいあん【平安】,心身が安定していて気持ちが良いこと。,82047
편안하다,形容詞,きらくだ【気楽だ】。ここちよい【心地よい】。へいあんだ【平安だ】,心身が安定していて気持ちが良い。,71333
편의점,名詞,コンビニエンスストア。コンビニ,長い間、または一日中営業していて、簡単な生活必需品、食料品、インスタント食品などを扱う小売店。,82055
편지,名詞,てがみ【手紙】。しょかん【書簡】,用事などを記して、人に送る文書。,24147
편지봉투,名詞（句）,ふうとう【封筒】。じょうぶくろ【状袋】,手紙を入れる紙の袋。,82077
편지하다,動詞,てがみをかく【手紙を書く】,手紙を送る。,82084
편찮다,形容詞,ここちよくない【心地よくない】。ぐあいがわるい【具合が悪い】,心身が楽ではなく、つらい。,87901
편하다,形容詞,らくだ【楽だ】。きらくだ【気楽だ】。ここちよい【心地よい】 | てがるだ【手軽だ】。べんりだ【便利だ】,心身がつらくなく、気持ちがいい。 | 手間がかからず、簡単である。,71334
평소,名詞,へいそ【平素】。ふだん【普段】。つねひごろ【常日頃】,特別なことのない、普通の時。,71341
평일,名詞,へいじつ【平日】。ふだん【普段】。へいそ【平素】 | へいじつ【平日】。ウイークデー,特別なことのない、普通の日。 | 土曜・日曜・祝祭日以外の日。,81325
포도,名詞,ぶどう【葡萄】,甘酸っぱい味の、小さい実が房状になる紫色の果物。,62808
포장,名詞,ほうそう【包装】。ラッピング,物品を包んだり、荷造りしたりすること。また、そのときに用いる材料。 | 上辺だけを見栄えよく飾ること。,71349
포장되다,動詞,ほうそうされる【包装される】。つつまれる【包まれる】。ラッピングされる | かざられる【飾られる】,物品が包まれたり、荷造りされたりする。 | 上辺だけ見栄えよく飾られる。,84603
표,名詞,きっぷ【切符】。けん【券】。チケット | ひょう【票】 | ひょう【票】,権利があることを証明する紙片。 | 選挙で有権者が自分の意思を表示する紙片。 | 選挙で有権者が投票した紙片を数える単位。,71353
푸르다,形容詞,あおい【青い】。あおあおとする【青青とする】 | あおい【青い】 | いきいきする【生き生きする】 | すむ【澄む】 | つめたい【冷たい】,晴れた秋空や深い海、生き生きとした草の色ように、明るくて鮮やかだ。 | 穀物や果物などがまだ熟していない。 | 勢力が強い。 | (比喩的に)若くて活気に満ちている。 | (比喩的に)希望や抱負などが大きくて美しい。 | 空気などがきれいで新鮮だ。 | ひんやりと冷たい感じがする。,73266
푹,副詞,ぐっすり。ゆったり | ぶすり。ずぶり | すっぽり | じっくり | すっかり。びっしょり | ぼこっと | ずぶり | ばったり。ばたっと | がつがつ | がっくり | ぽっぽ | がくん。がっくり | すっぽり,熟睡したり疲れた体を休めたりするさま。 | 強く突き刺すさま。 | 中身が表から見えないように、隙間なく包んだり覆ったりするさま。 | 十分に煮込んだりゆでたりするさま。 | 腐り切ったり濡れたりしているさま。 | 深く掘られているさま。 | 深くはまり込んだり、沈み込んだりするさま。 | 力なく、べたりと倒れるさま。 | 匙やシャベルなどで物をたくさんすくい出すさま。 | 深く頭を垂れるさま。 | 煙や粉などが勢いよく噴き出るときの音。また、そのさま。 | 力・能力・量などが大きく急減するさま。 | 粉や埃などがかなり多く積もっているさま。,83605
풀다,動詞,ほどく【解く】。ときほぐす【解きほぐす】 | ほどく【解く】。あける【開ける】 | はらす【晴らす】。ほぐす【解す】 | はらす【晴らす】。ほぐす【解す】。はたす【果たす】 | とく【解く】 | とく【解く】。かいじょする【解除する】 | はなつ【放つ】。はなす【放す】。かいほうする【解放する】 | ほぐす【解す】。とる【取る】 | どういんする【動員する】 | かむ【擤む】 | かいしゃくする【解釈する】。とく【解く】 | ほぐす【解す】。ときほぐす【解きほぐす】。とる【取る】 | とかす【溶かす】。とく【溶く】。まぜる【混ぜる】 | ばらまく【散蒔く・散撒く】。くばる【配る】,結んだり縛ったり、もつれたりしているものを元に戻す。 | 包みを開けて広げる。 | 心のわだかまりを和らげる。 | 心のわだかまりを解決して取り除くか、心に抱いていたことを実現させる。 | 知らなかったり難しい問題を解決するか、答えを出す。 | 禁止されていたり制限されていたものを自由にする。 | 閉じ込めたり束縛した人や動物などを自由にしてやる。 | 疲れや凝りがなくなるようにする。 | 何かを探すために多くの人を集め、あちこちに送る。 | 鼻水を息とともに強く吹き出す。 | 理解しにくく複雑な意味を分かりやすく言い換える。 | 緊張した表情・雰囲気・体などを緩める。 | 液体の中に何かを入れてよく混ぜあわせるか、溶けるようにする。 | 集まった金銭や物品をあちこちに分ける。,29761
풍경,名詞,ふうけい【風景】。ふうこう【風光】。けしき【景色】 | ふうけい【風景】。じょうけい【情景】,自然または地域の美しい景観。 | 心の中にある感情を沸き起こさせる景色や場面。,72392
프라이팬,名詞,フライパン,炒め物・揚げ物などに用いる、浅くて底が平らで柄のついた鍋。,84488
프로그램,名詞,プログラム | ばんぐみ【番組】。ばんぐみひょう【番組表】 | プログラム,ある行事の進行計画や順序を記したもの。または、その行事の細目。 | ラジオ・テレビなどで、時間別に放送される内容。また、その番組表。 | コンピューターに命令を出すために、その作業の順序や方法などをコンピューター言語で記したもの。,60621
피,名詞,ち【血】。けつえき【血液】 | ち【血】,人や動物の体内の血管を循環しながら酸素と栄養を供給し、老廃物を運ぶ赤い液体。 | 血縁や民族のことを比喩的にいう語。,73269
피 검사,名詞（句）,けつえきけんさ【血液検査】,血液を採って血液型または病気の有無などを調べる検査。,83790
피곤,名詞,つかれ【疲れ】。ひろう【疲労】。くたびれ【草臥れ】,心身が疲れていて辛いこと。,83798
피곤하다,形容詞,つかれる【疲れる】,心身が疲れていて辛い。,60291
피다,動詞,さく【咲く】。ひらく【開く】 | もえる【燃える】。ひがつく【火が付く】 | あかるくなる【明るくなる】。うつくしくなる【美しくなる】 | たちのぼる【立ち上る】 | よくなる【良くなる】 | たつ【立つ】 | けばだつ【毛羽立つ】 | うかぶ【浮かぶ】 | かびる。はえる【生える】 | にじむ【滲む】。しみる【滲みる】,花のつぼみや葉などが開く。 | 練炭や墨などに火が起こって燃える。 | 顔に肉がつき、顔色が良くなる。 | 雲や煙などが空へ高く上がる。 | 事情や暮らし向きなどが良くなる。 | 匂いやほこりなどが広がったり立ったりする。 | 衣服や布で、細かい毛が数多く立つ。 | 笑いや微笑みなどの表情をする。 | カビやはたけ、シミなどができる。 | インキなどが紙や布にしみて広がる。,73270
피시,名詞,PC。パーソナルコンピューター。パソコン,家庭や仕事場で、個人の使用を目的に作られたコンピューター。,72403
피시방,名詞,インターネットカフェ。ネットカフェ,店内に設置されているパソコンを有料で利用できる施設。,84139
피아노,名詞,ピアノ,黒と白の鍵盤を指で叩いたり押したりして音を出す大きな楽器。,31505
피우다,動詞,さかせる【咲かせる】 | おこす【起こす】 | たてる【立てる】 | たてる【立てる】 | うかべる【浮かべる】 | すう【吸う】。ふかす【吹かす】,花のつぼみや葉などを開かせる。 | 火を起こして燃やす。 | 煙などが大きく立つようにする。 | 匂いが広がるようにしたり、ほこりを立たせる。 | 笑いや微笑みなどの表情を見せる。 | ある物に火を付けて、その煙を吸っては吐き出す。 | ある態度をみせたり、特定の行動をする。,73272
필요,名詞,ひつよう【必要】,必ず要ること。,72405
필요하다,形容詞,ひつようだ【必要だ】,必ず要する。,46945
필통,名詞,ふでづつ【筆筒】。ふでたて【筆立て】 | ペンケース。ふでいれ【筆入れ】,筆・鉛筆などの筆記用具をさしておく筒形の用具。 | 鉛筆・消しゴムなどを入れる袋や箱。,84661
하나,名詞/数詞,ひとつ【一つ】。いちがん【一丸】 | ひとつ【一つ】。ひとり【一人】 | ひとつ【一つ】。ひとり【一人】 | ひとつも【一つも】。まったく【全く】 | ひとつ【一つ】 | ひとつ【一つ】。いち【一・壱】,志、心、考えなどが一致したりまとまったりすること。 | 多くの中で特定の物や人をさす語。 | 「ただそれだけ」という意で、唯一の物事。 | 全然、少しも。 | 何かを明確に示さずに、ある種類の。 | 数字を数えるときの最初の数。,"20283,20279"
하늘,名詞,てん【天】。そら【空】 | てん【天】 | てん【天】。てんごく【天国】,地上に無限に広がる空間。 | 絶対的な存在、神。 | 神や死者の霊魂が住んでいると思われるところ。,20311
하늘색,名詞,そらいろ【空色】,青と白の中間の色で、晴れた空のような色。,84156
하다,動詞,する【為る】。やる【遣る】。なす【成す・為す】 | する【為る】。かう【買う】。たく【炊く】 | する【為る】 | やる【遣る】 | する【為る】 | する【為る】 | つとめる【務める】 | する【為る】。たつ【立つ】 | する【為る】 | する【為る】 | する【為る】 | とう【問う】 | する【為る】 | する【為る】 | する【為る】。むける【向ける】 | する【為る】 | いう【言う】 | よる【因る・由る】 | へる【経る】。けいゆする・けいゆうする【経由する】 | する【為る】。なる【為る】 | いう【言う】 | する【為る】 | いう【言う】 | する【為る】 | する【為る】。やる【遣る】 | する【為る】 | する【為る】 | いう【言う】 | する【為る】 | する【為る】 | いう【言う】,ある行動や動作、活動などを行う。 | 何かを作ったり用意したりする。 | ある表情や態度を表す。 | 食べ物などを食べたり飲んだり、タバコなどを吸ったりする。 | 装身具などを身につけたり、着飾ったりする。 | ある職業や仕事に就いたり事業体などを経営したりする。 | ある地位に就いたり役目にあたったりする。 | ある結果を出す。 | 何かを買ったり得たりして持つ。 | 値段がいくらである。 | 期待に応える行動をする。 | 分別して言う。 | 事件や問題などを処理する。 | 特定の対象を何かに決める。 | ある方向を向かせる。 | 何かをそう決める。 | 名前を付けて呼ぶ。 | あることの原因となる。 | どこかを通って行く。 | 一定の時刻や時期に至る。 | 話題にする。 | 何かについて言う。 | 他人の言葉や考えなどを表す文章を引用して、次に来る単語を修飾する語。 | 人に影響を与えたり接したりする。 | ある方式で何かを行う。 | 二つ以上のことが羅列されたり繰り返されたりすることを表す語。 | 思ったり推測したりする。 | あれこれと言う。 | ある状況が起こったらその次に必ずある状況が起こることを表す語。 | 音が出る。また、音を出す。 | ある言葉を引用する機能を表す語。 | 「しかし」、「だから」、「では」、「そうして」、「それで」の意を表す語。,73277
하루,名詞,いちにち【一日】 | いちにち【一日】。ひるま【昼間】 | あるひ【ある日】,午前零時から午後12時までの24時間。 | 人が朝から日没まで活動する時間。 | 特定していない日。,49315
하숙비,名詞,げしゅくだい【下宿代】,人の家で生活するのにかかる部屋代・食費などの費用。,83964
하숙집,名詞,げしゅく【下宿】。げしゅくや【下宿屋】,一定の金額を払って生活する家。,72407
하얀색,名詞,しろいろ・はくしょく【白色】,雪や牛乳のような色。,83994
