韓国語,品詞,日本語訳,定義,target_codes
갖다,動詞/補助動詞,もつ【持つ】。たずさえる【携える】 | もつ【持つ】。しょゆうする【所有する】。ゆうする【有する】 | もつ【持つ】。しょゆうする【所有する】ほゆうする【保有する】 | もつ【持つ】。ゆうする【有する】。そなえる【備える】 | もつ【持つ】。ゆうする【有する】。そなえる【備える】 | もつ【持つ】 | もつ【持つ】 | もつ【持つ】。ゆうする【有する】。そなえる【備える】 | もつ【持つ】。ひらく【開く】 | にんしんする【妊娠する】。はらむ | もつ【持つ】 | もつ【持つ】 | つかう【使う】。りようする【利用する】 | もつ【持つ】 | もつ【持つ】 | て | ので,何かを手に握ったり、身に付けたりする。 | 自分のものにする。 | 職業や資格、資格証、身分などを備える。 | 知識や経験、歴史などがある。 | ある特性、特徴、属性を有する。 | ある身体的な特徴を有する。 | 病気や症状などを持つ。 | 発揮できる能力を備える。 | 会議や集まり、公演などを行う。 | 人や動物が子をはらむ。 | 血縁関係や親密な関係の人を抱える。 | 時間や余裕を得て楽しむ。 | 何かを道具や材料、手段、方法にする。 | 何かを対象にする。 | 考え、態度、思想などを心の中に抱く。 | 関係を結ぶ。 | 前の言葉の表す行動の結果や状態が維持されるという意を表す「補助動詞」。 | 前の言葉の表す行動や状態が、後の語の原因や手段・理由になるという意を表す「補助動詞」。,"29738,73401"
같다,形容詞,おなじだ【同じだ】 | ようだ | ようだ。みたいだ。おなじだ【同じだ】 | らしい | ようだ。そうだ,互いに異ならない。 | 互いに似ている。 | 何かと同じような種類に分類されていることを表す語。 | 「ある状況や条件であれば」の意を表す語。 | 「基準に合う」の意を表す語。 | 「心や考え、状況に応じて」の意で、実際はそうではないことを表す語。 | 前の語と違いがないことをののしっていう語。 | 察せられる点がある。,62076
같아지다,動詞,おなじくなる【同じくなる】。ひとしくなる【等しくなる】,同じになる。,22770
같이,副詞,いっしょに【一緒に】・ともに【共に】 | いっしょに【一緒に】 | ように,二人以上が一緒に。 | ある物や人と一緒に。 | ある状況や行動などが互いに異なることなく。,26799
갚다,動詞,かえす【返す】。へんさいする【返済する】 | むくいる【報いる】 | しかえす【仕返す】。ふくしゅうする【復讐する】,借りた物を元の所有者に戻す。 | 受けた好意に対して、相応のことを返す。 | 相手に受けた害に対して、同じ行為をして返す。,15728
개,名詞/依存名詞,いぬ【犬】 | いぬ【犬】 | こ【個】,臭覚や聴覚が鋭く、利口で人に良くなつくため、狩りやペットの目的で飼う動物。 | 人間らしくない悪い人をののしっていう語。 | 個々になっているものを数える単位。,"64115,22784"
개월,依存名詞,かげつ【ヶ月】,月数を数える単位。,17304
거,依存名詞,もの【物】 | の | の,ある物事や現象、または事実。 | 人や動物を卑しめていう語。 | その人の所有であることを表す語。 | 話し手の確信や決定、決心などを表す語。 | 話し手の推測や所信などを表す語。,62331
거기,代名詞,そこ。そちら。 | そこ。そちら。あそこ。あちら。 | それ。あれ | あなた。あんた。おまえ【お前】,聞き手に近い場所をさす語。 | 前の話で話題になった場所をさす語。 | 前の話で話題になった対象をさす語。 | 話し相手のことを卑しめていう語。,62258
거리,名詞/依存名詞,まち【街・町】。とおり【通り】 | たね【種】,人や車が行き交う道。 | 内容となるにふさわしい対象や材料。 | その時間、数で十分やりこなせるもの。,"20187,64727"
거실,名詞,いま【居間】。リビングルーム。ちゃのま【茶の間】,西洋式の家で、家族が集まって生活したり、お客をもてなす中心空間。,66304
거울,名詞,かがみ【鏡】 | かがみ【鏡】 | かがみ【鏡】。てほん【手本】,物体の形を映して見る、薄くて平たい道具。 | （比喩的に）ある物事を露わにしたり、そのまま見せたりすること。 | 模範や教訓になること。,59325
거의,名詞/副詞,ほとんど。ほぼ。おおよそ【大凡】。だいたい【大体】 | ほとんど | ほぼ,全部から少し足りない程度。 | 全部ではなく、やや足らずに。 | ある状態や限度に非常に近く。,"88839,60090"
거절,名詞,きょぜつ【拒絶】。きょひ【拒否】。ことわり【断わり】。えんりょ【遠慮】,人からの頼みや提案、贈り物などを受け入れないこと。,20468
거절되다,動詞,きょぜつされる【拒絶される】。きょひされる【拒否される】。ことわられる【断られる】。えんりょされる【遠慮される】,頼みや提案、贈り物などが受け入れられない。,20475
거절하다,動詞,きょぜつする【拒絶する】。きょひする【拒否する】。ことわる【断る】。えんりょする【遠慮する】,人からの頼みや提案、贈り物などを受け入れない。,15847
거짓말,名詞,うそ【嘘】。いつわり【偽り】,事実でないことを事実であるように偽って言う言葉。,28444
거짓말하다,動詞,うそをつく【嘘を付く】。いつわる【偽る】,事実でないことを事実であるように偽って言う。,20537
걱정,名詞,しんぱい【心配】。けねん【懸念】。ゆうりょ【憂慮】 | しんぱい【心配】,よくない事があるのではないかと思って、怖くて不安なこと。 | 目下の人の過ちを叱ること。,17232
걱정되다,動詞,しんぱいされる【心配される】。おもいやられる【思いやられる】,よくないことがあるのではないかと思って、恐ろしくて不安だ。,15866
걱정하다,動詞,しんぱいする【心配する】,よくないことがあるのではないかと思って、恐ろしくて不安だ。,60091
건강,名詞,けんこう【健康】,心身に異常のない丈夫な状態。,36670
건강 관리,名詞（句）,けんこうかんり【健康管理】,疾病を予防し、体を健康な状態に維持するために努力すること。,21616
건강하다,形容詞,けんこうだ【健康だ】。げんきだ【元気だ】,心身に異常がなく丈夫だ。,17317
건너가다,動詞,わたる【渡る】。わたっていく【渡っていく】 | わたる【渡る】。よこぎる【横切る】,川や橋、道路などを隔ててこちらからあちらに行く。 | こちらからあちらに行く。,60092
건너다,動詞,わたる【渡る】 | つたわる【伝わる】 | ぬく【抜く】。とばす【飛ばす】,何かを越えたり通り過ぎたりして向うへ移動する。 | 話や噂などが他の人に知られる。 | 順番を抜かす。,53853
건너오다,動詞,わたる【渡る】。わたってくる【渡ってくる】 | うつる【移る】。くる【来る】,川や橋、道路などを隔ててあちらからこちらに来る。 | 場所を替えて他の場所に来る。,54905
건너편,名詞,むかいがわ【向かい側】。むこうがわ【向こう側】,見合わせているあちらの側。,46806
건물,名詞,たてもの【建物】,住居・業務・物品の保管などの目的で造った、壁と屋根がある建造物。,28029
걷다,動詞,あるく【歩く】 | あゆむ【歩む】 | あゆむ【歩む】,地面から足を交互に離して動きながら位置を変える。 | ある方向に進んでいく。 | ある職業に従事する。,29667
걸다,形容詞,ひよくだ【肥沃だ】 | こい【濃い】 | せいだいだ【盛大だ】 | くちぎたない【口汚い】,土壌や土が肥えていて、養分が多い。 | 液体が緩くなく、濃い。 | 並べたご馳走が多くて賑やかだ。 | 言葉遣いが乱暴で荒い。 | ボリューム感があってお腹いっぱいだ。,25461
걸리다,動詞,かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | かかげられる【掲げられる】。つく【付く】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | ふれる【触れる】。そむく【背く】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | かかる【掛かる】 | ひっかかる【引っ掛かる】。つまずく。つっかかる【突っかかる】 | ばれる | かかりあう【掛かり合う】 | ひっかかる【引っ掛かる】。つかまる【捕まる】 | かかる【掛かる】,ある物が落ちずにどこかにぶら下がる。 | 扉が開かないように錠やかんぬきが掛けられる。 | 釜や鍋などが使えるように用意される。 | テープやレコードなどがある装置に入れられる。 | 名前や条件などが示される。 | 自動車や機械、装置などが作動する。 | 日や月が昇っている。 | 病気になる。 | 満足できなく、気分が良くない。 | 何かに反する。 | お金や物などが契約や賭け事の担保として提供される。 | 裁判や訴訟などが裁判所に提起される。 | ある状態に陥る。 | 命や名誉などを担保として出される。 | 電話がかかる。 | 緊急に命令や要請が出される。 | 足などが何かにぶつかる。 | 何かをする途中で発覚する。 | 関係を持ったりぶつかったりする。 | 遮られたり捕まったりする。 | 時間が費やされる。,86940
