韓国語,品詞,日本語訳,定義
우유,名詞,ぎゅうにゅう【牛乳】。ミルク,乳牛の乳で、アイスクリームやバター、チーズなどを作るのに使う白色の液体。
우유병,名詞,ぎゅうにゅうびん【牛乳瓶】,牛乳を入れる瓶。
우체국,名詞,ゆうびんきょく【郵便局】,手紙、小包みの発送や預金の管理などを行う公共機関。
우표,名詞,ゆうびんきって【郵便切手】。きって【切手】,郵便料金を支払った証票として郵便物に貼る紙片。
위,名詞,うえ【上】。かみ【上】,ある基準より高い方。また、中間より高い方。
위쪽,名詞,うわかわ【上側】。じょうほう【上方】,上の方になった席や方向。
위치,名詞,いち【位置】,ある場所を占めること。また、その場所。
위험,名詞,きけん【危険】,被害を受けたり怪我したりする恐れがあって、安全でないこと。また、その状態。
유리,名詞,ガラス【硝子】,透明で堅くて割れやすい、窓や鏡などに用いられる物質。
유명,名詞,ゆうめい【有名】,世間に名が広く知られていること。
유월,名詞,ろくがつ【六月】,1年12ケ月の中で6番目の月。
유치원,名詞,ようちえん【幼稚園】,小学校に入学する前の幼児を教育する機関及び施設。
유학,名詞,りゅうがく【留学】,外国に滞在して学ぶこと。
유학생,名詞,りゅうがくせい【留学生】,外国に滞在して学ぶ生徒や学生。
유행,名詞,りゅうこう【流行】。はやり【流行り】,伝染病が世の中に広まること。
의미,名詞,いみ【意味】,言葉や文章、記号などが示す内容。
의사,名詞,いし【医師】。いしゃ【医者】,一定の資格をもち、病気の診察や治療を職業とする人。
의자,名詞,いす【椅子】。こしかけ【腰掛】,人が尻と股をつけて座るための家具。
이날,名詞,このひ【此の日】。そのひ【其の日】。とうじつ【当日】,前述した日。
이때,名詞,このとき【此の時】。いま【今】,ただいま。また、言ったばかりの時。
이름,名詞,な【名】。なまえ【名前】。めいしょう【名称】,他と区別するため、動物・事物・現象などにつけて呼ぶ語。
이마,名詞,ひたい【額】。おでこ,顔の眉の上から髪の生えぎわまでの部分。
이모,名詞,おば【叔母・伯母】,母親の姉妹を指したり呼ぶ語。
이모부,名詞,おじ【叔父・伯父】。ぎりのおじ【義理の叔父・義理の伯父】,母親の姉妹の夫を指したり呼ぶ語。
이번,名詞,こんど【今度】。こんかい【今回】。このたび【この度】,すぐ行われる順序にある事柄。または、行われたばかりの事柄。
이불,名詞,かけぶとん【掛け布団・掛布団】,寝る時に、体の上にかけるために布などで作った物。
이사,名詞,ひっこし【引越し】,住んでいた所を離れて、他の所に移ること。
이삿짐,名詞,ひっこしにもつ【引っ越し荷物】,引っ越しの時に運ぶ荷物。
이상,名詞,いじょう【異常】,正常でないこと。
이야기,名詞,はなし【話】,ある事実・状態・現象・経験・考えなどについて誰かに話す言葉・文章。
이용,名詞,りよう【利用】,対象を必要に応じて役立つように使うこと。
이웃,名詞,となり【隣】,ある地域や国に並んで、または近くにある。
이월,名詞,にがつ【二月】,1年12ケ月の中で2番目の月。
이유,名詞,りゆう【理由】,ある結果が生じたわけや根拠。
이전,名詞,いぜん【以前・已前】,今より前の時点。
이틀,名詞,ふつか【二日】,日の数二つ。
이해,名詞,りかい【理解】。りょうかい【了解】,物事について正しく分かること。また、納得すること。
이후,名詞,いご【以後・已後】。こんご【今後】,これから先。
자기소개,名詞,じこしょうかい【自己紹介】,初対面の人などに自分の名前・職業・趣味などを自分で知らせること。
자동차,名詞,じどうしゃ【自動車】。くるま【車】。カー,エンジンの力によって車輪を回転させ、路上を走るように作った車。
자동판매기,名詞,じどうはんばいき【自動販売機】。じはんき【自販機】,硬貨・紙幣を差し入れると、自動的に目的の物品が得られる装置。
자랑,名詞,じまん【自慢】。ほこり【誇り】,自分、または自分に関係のある人・物事が、人に褒められるようなものであると、公に誇ること。
자리,名詞,ば【場】。ばしょ【場所】。くうかん【空間】,人や物が占める空間。
자식,名詞,しそく【子息】。こ【子】。こども【子供】。せがれ,息子と娘。または、息子か娘。
자신,名詞,じぶん【自分】,その人自身。
자연,名詞,しぜん【自然】,人力によってではなく、おのずから世の中に存在したり行われたりする現象や存在。
자유,名詞,じゆう【自由】,何かに縛られたり拘束されたりせずに、自分の考えや意志に従って行動できる状態。
자전거,名詞,じてんしゃ【自転車】,人が乗って、両足でペダルを踏んで、車輪を回転させて走る乗り物。
자판기,名詞,じはんき【自販機】。じどうはんばいき【自動販売機】,金を入れて物品を選ぶと、買おうとする物品が自動的に出てくる装置。
재료,名詞,ざいりょう【材料】,ものを作る時に使われるもの。
재미,名詞,たのしみ【楽しみ】。きょうみ【興味】,ある物事が与える楽しい気分や感じ。
재채기,名詞,くしゃみ【嚔・嚏】,鼻粘膜の刺激によって、急に大きな声とともに強い呼吸を発すること。
저금,名詞,ちょきん【貯金】,金をためたり、銀行などの金融機関に預けたりすること。また、その金。
저녁,名詞,ゆうがた【夕方】。ひぐれ【日暮れ】。ゆうぐれ【夕暮れ】,日が暮れ始めて夜になるまでの間。
저번,名詞,このまえ【此の前】。このあいだ【此の間】。せんじつ【先日】。せんぱん【先般】,言っている時点の前の回や時。
제목,名詞,だいもく【題目】。ひょうだい【表題・標題】。タイトル,文章や映画、公演などで、中心となる内容を表すために付ける名前。
조깅,名詞,ジョギング,健康維持のために適度な速度でゆっくり走る運動。
조심,名詞,ようじん【用心・要心】,悪いことが起こらないように、言葉や行動に注意すること。
조카,名詞,ゆうし【猶子】。めい【姪】。おい【甥】,兄弟姉妹が生んだ子。
주말,名詞,しゅうまつ【週末】,一週間の末。
주말여행,名詞,しゅうまつりょこう【週末旅行】,週末に行く旅行。
주머니,名詞,ふくろ【袋】。かねぶくろ【金袋】。きんちゃく【巾着】,金や物などを入れて持ち歩くために、布や皮などで作ったもの。
주문,名詞,ちゅうもん【注文・註文】。オーダー,ある物を作って売る人に、その物の種類、数量、形、大きさなどを教えて、製造や配達を依頼することや内容。
주변,名詞,しゅうへん【周辺】,ある対象を取り巻いている周りの部分。また、近い範囲内。
주부,名詞,しゅふ【主婦】,一家の家事の切り盛りをする人。
주사,名詞,ちゅうしゃ【注射】,注射器で人や動物の体内に薬液を直接注入すること。また、その器具。
주소,名詞,じゅうしょ【住所・住処】。アドレス,家や職場、機関などが位置した所の行政区域上の名称。
주스,名詞,ジュース,果物や野菜の絞り汁。また、それで作った飲料。
주위,名詞,しゅうい【周囲】。まわり【周り】,何かを囲んでいるまわりの部分。
주인,名詞,しゅじん【主人】。ぬし【主】。もちぬし【持ち主】。あるじ【主】。しょゆうしゃ【所有者】。オーナー,物事や対象を自分のものとして所有している人。
주차,名詞,ちゅうしゃ【駐車】,自動車などを一定の場所にとめておくこと。
주차장,名詞,ちゅうしゃじょう【駐車場】。パーキング,自動車を駐車するための場所。
주황색,名詞,だいだいいろ【橙色】。オレンジいろ【オレンジ色】,赤色と黄色が混ざった色。
지각,名詞,ちこく【遅刻】,決められた時刻に遅れて出社したり登校すること。
지갑,名詞,さいふ【財布】。かねいれ【金入れ】。さついれ【札入れ】,金銭、カード、名刺などを入れて持ち歩くことができるように革や布などで作ったもの。
지난달,名詞,せんげつ【先月】。ぜんげつ【前月】。きょげつ・きょがつ【去月】。あとげつ【後月】,今月のすぐ前の月。
지난번,名詞,このまえ【この前】。このあいだ【この間】。ぜんかい【前回】。さき【先】。さっき。さきごろ【先ごろ】,話している時を基準に、以前の順番や過ぎた時。
지난주,名詞,せんしゅう【先週】,今週のすぐ前の週。
지난해,名詞,きょねん【去年】。さくねん【昨年】,今年のすぐ前の年。
지도,名詞,ちず【地図】,地球表面の全部や一部を一定の割合で縮小し、記号を用いて平面上に描いた絵。
지방,名詞,ちほう【地方】,行政区画やある特徴などを基準に分けられる地域。
지우개,名詞,けしゴム【消しゴム】,鉛筆で書いたものを消すのに用いる、ゴム製の道具。
지하,名詞,ちか【地下】,土の中や、地面の下を掘って作った建物の空間。
지하도,名詞,アンダーパス。ちかどう【地下道】,地面の下を掘り下げて作った道路。
지하철,名詞,ちかてつ【地下鉄】,地下の鉄道を通る電動車。
지하철역,名詞,ちかてつのえき【地下鉄の駅】,地下鉄に乗り、地下鉄を降りる所。
짜증,名詞,かんしゃく【癇癪】。いらだち【苛立ち】,気に入らなくて腹を立てたり嫌な気分を表現すること。また、そのような性格。
찌개,名詞,チゲ,少なめの出し汁に肉や豆腐、野菜などを入れ、コチュジャンまたはテンジャンなどで味付けをして煮立てたやや塩辛い料理。
차,名詞,ちゃ【茶】。おちゃ【お茶】 | くるま【車】,"良い香りや味のある植物の葉・根・実などを煎じたりお湯を注いで味を出した飲料。
 | 車輪がついていて、人や荷物を運ぶ機関。"
차례,名詞,じゅんじょ【順序】。じゅんばん【順番】。じゅん【順】。ばん【番】,物事を行ったり物事が起こる手順。
채소,名詞,やさい【野菜】。そさい【蔬菜】。あおもの【青物】,畑で栽培され、主にその葉っぱや茎、実などを食べる農作物。
처음,名詞,いちばんはじめ【一番初め】。さいしょ【最初】,順序や時間の上で一番先。
체육관,名詞,たいいくかん【体育館】,室内で運動競技ができるように設けられた建物。
초대,名詞,しょうたい【招待】,ある催し・会・行事などに来てくれるように客を招くこと。
초대장,名詞,しょうたいじょう【招待状】,ある催し・会・行事などにに招待する旨を書いて送る手紙。
초등학교,名詞,しょうがっこう【小学校】,児童に基本的な教育を行うための学校。満6歳で入学し、6年間基本的な教育を受ける。
초등학생,名詞,しょうがくせい【小学生】,小学校に通う生徒。
초록색,名詞,みどり【緑】。みどりいろ【緑色】。くさいろ【草色】。くさばいろ【草葉色】,黄色と青の中間色で、濃い草のような色。
초콜릿,名詞,チョコレート。チョコ,ココア粉に、牛乳・バター・砂糖などを加えて作った、主に黒色の甘い菓子。
최고,名詞,さいこう【最高】,程度が最も高いこと。
최근,名詞,さいきん【最近】,現在より少し前のある時から現在までの間。
최저,名詞,さいてい【最低】,程度や水準などが最も低いこと。
추석날,名詞,チュソク。きゅうれきのぼんやすみ【旧暦の盆休み】,韓国の節日の一。陰暦8月15日で、新米で作った「ソンピョン」という餅や走りの果物などの食物を用意して、祭祀を行う。また、「シルム（韓国相撲）」、綱引き、「カンガンスルレ」などの民俗遊戯を楽しむ。
취미,名詞,しゅみ【趣味】,好きで楽しみとしてしている事柄。
취소,名詞,とりけし【取り消し】。ちゅうし【中止】。キャンセル,すでに発表した事を無効とするか、約束したことや予定されている事を取りやめること。
취직,名詞,しゅうしょく【就職】。しゅうぎょう【就業】。しゅうろう【就労】,一定の職業を得て職場に行くこと。
치과,名詞,しか【歯科】,歯や歯茎などの支持組織、口腔などの病気を治療する医学分野。また、その分野の病医院。
치료,名詞,ちりょう・じりょう【治療】。りょうじ【療治】,病気やけがなどを治すこと。
치마,名詞,スカート,下半身を覆う女性服で、両足をそれぞれ入れる部分のない服。
치약,名詞,はみがき【歯磨き】。はみがきこ【歯磨粉】,歯を磨く時に使うもの。
카드,名詞,カード,ある事柄の証明や記録のために一定のサイズと規格に従って切断した厚い紙・厚いプラスチック。
카디건,名詞,カーディガン,前開きのスタイルでボタンをかけるようになっている毛糸で編んだセーター。
카메라,名詞,カメラ,写真を撮る器械。
카페,名詞,カフェ。コーヒーてん【コーヒー店】。きっさてん【喫茶店】,主にコーヒーや紅茶のような飲み物、軽い間食などを販売する店。
카페라테,名詞,カフェラテ,エスプレッソにミルクを混ぜたコーヒー。
카푸치노,名詞,カプチーノ,泡立てた熱い牛乳にエスプレッソを混ぜて飲むコーヒー。
커피,名詞,コーヒー。コーヒーまめ【コーヒー豆】。コーヒーこな【コーヒー粉】,煎って粉にしたものを熱湯でこしたり煮出したりして飲む、コーヒーの木の種子、またはその粉。
커피숍,名詞,コーヒーショップ。コーヒーてん【コーヒー店】。カフェ。きっさてん【喫茶店】,人々が主にコーヒーや紅茶などを飲みながら話し合ったり休憩したりするようにした店。
케이크,名詞,ケーキ,小麦粉に卵・バター・牛乳・砂糖などを混ぜてこねてからオーブンに入れて焼いた後、生クリームや果物などでデコレーションした洋菓子。
케이팝,名詞,K-POP,現代韓国の大衆歌謡を他国の大衆歌謡に対して言う語。主にアイドルグループの歌を指す。
코,名詞,はな【鼻】,息をして、においを嗅ぐ身体の一部。
코감기,名詞,はなかぜ【鼻風邪】,鼻がつまり、鼻水が出る症状の風邪。
코끼리,名詞,ぞう【象】,非常に長い鼻と二つの大きい奥歯を持っている、陸地動物の中で一番大きい動物。
코미디언,名詞,コメディアン,喜劇を専門にする役者。
코코아,名詞,ココア,カカオの豆をひいて粉末にした茶色の粉。
쿠션,名詞,クッション,いすや乗り物の座席などで、座り心地を良くするために羽毛やばねなどを中に入れて作ったもの。
쿠키,名詞,クッキー,小麦粉に色々な材料を加えて焼いた洋菓子。
쿠폰,名詞,クーポン。かいすうけん【回数券】,1枚ずつ切り取って現金のように使用する券。
크기,名詞,おおきさ【大きさ】。サイズ,物のかさ、広さ、量などが大きい程度。
크리스마스이브,名詞,クリスマスイブ。イブ。せいや【聖夜】,クリスマスの前日である12月24日の夜。
크리스마스트리,名詞,クリスマスツリー,クリスマスのとき、星飾り・鐘・豆電球などの様々な飾りで装飾して立てる木。
키,名詞,せ【背】。せたけ【背丈】。しんちょう【身長】。みのたけ【身の丈】,人や動物がまっすぐに立った時のかかとから頭頂までの体の高さ。
키위,名詞,キウイ。キーウィ。キウイフルーツ,卵の形をした果実の表面に褐色の毛があり、果肉は真ん中は黄色でその周りは淡緑色で、黒い種子が並んでいる果物。
타워,名詞,タワー,塔のように高くて先端が尖っている形に造った建築物。
타이,名詞,タイ。ネクタイ,主としてスーツを着る時、ワイシャツの襟もとに巻いて正面で結ぶ細長い布。
태권도,名詞,テコンドー【跆拳道】,韓国の伝統武術に基づいた格技で、拳と足などを用いて蹴り、突き、防ぎなどの技で攻撃と防御をするスポーツ競技。
태도,名詞,たいど【態度】。しせい【姿勢】,身体の動きや物事に対する心が表に現れた姿勢。
태풍,名詞,たいふう【台風】,主に7月から9月にかけて太平洋から韓国や日本などのアジア大陸の東部に向かって近づいてくる、激しい暴風雨を伴う風。
터미널,名詞,ターミナル,飛行機・汽車・バスなどの交通路線が集中している、主に最初の駅か終着駅。
테니스,名詞,テニス。ていきゅう【庭球】,ネットを挟んでラケットでボールを打ち合うスポーツ競技。
테니스장,名詞,テニスコート。ていきゅうじょう【庭球場】,テニスをする競技場。
테이블,名詞,テーブル,支える脚があり、上が平らで物を置くことができる机状の家具。
토끼,名詞,うさぎ【兎】,耳が長く、後肢が前肢より発達して、しっぽは短い動物。
토마토,名詞,トマト,球状のこぶしサイズの実で、緑色で熟すと赤くなる野菜。
토요일,名詞,どようび【土曜日】。どよう【土曜】,月曜日を基準とした１週間の6日目。
퇴근,名詞,たいきん【退勤】,職場で勤務が終わって、勤め先から退出すること。
퇴원,名詞,たいいん【退院】,一定期間入院して治療を受けていた患者が、病院から出ること。
투피스,名詞,ツーピース,上着とスカートが同じ布で作られて一組になっている婦人服。
튀김,名詞,てんぷら【天ぷら】。あげもの【揚げ物】。フライ。フリッター,魚・肉・野菜などに小麦粉の衣をつけ、油で揚げたもの。
트럭,名詞,トラック,貨物を運搬する自動車。
티,名詞,ティーシャツ,T字型の半袖のシャツ。
티브이,名詞,テレビ。テレビジョン,放送局が電波で送る映像と音声を受信して、画面に映し出す機械。
티셔츠,名詞,ティーシャツ,T字型の半袖のシャツ。
티켓,名詞,チケット,入場券や乗車券などの切符。
파,名詞,ねぎ【葱】,中空で細長い葉の先端はとがり、独特な匂いや味を持っていて薬味としてよく使う野菜。
파란색,名詞,あおいろ【青色】。あおいいろ【青い色】。ブルー,晴れた空や澄んだ海のような色。
파인애플,名詞,パイナップル,熱帯・亜熱帯で栽培され、中が黄色で甘い味がする松かさ状の果実。
파티,名詞,パーティー,社交のための、または何かを記念するための宴会や集まり。
패키지,名詞,パッケージ,包んで郵便で送る物品。
포도,名詞,ぶどう【葡萄】,甘酸っぱい味の、小さい実が房状になる紫色の果物。
포장,名詞,ほうそう【包装】。ラッピング,物品を包んだり、荷造りしたりすること。また、そのときに用いる材料。
표,名詞,きっぷ【切符】。けん【券】。チケット,権利があることを証明する紙片。
프라이팬,名詞,フライパン,炒め物・揚げ物などに用いる、浅くて底が平らで柄のついた鍋。
프로그램,名詞,プログラム,ある行事の進行計画や順序を記したもの。または、その行事の細目。
피,名詞,ち【血】。けつえき【血液】,人や動物の体内の血管を循環しながら酸素と栄養を供給し、老廃物を運ぶ赤い液体。
피곤,名詞,つかれ【疲れ】。ひろう【疲労】。くたびれ【草臥れ】,心身が疲れていて辛いこと。
피시,名詞,PC。パーソナルコンピューター。パソコン,家庭や仕事場で、個人の使用を目的に作られたコンピューター。
피시방,名詞,インターネットカフェ。ネットカフェ,店内に設置されているパソコンを有料で利用できる施設。
피아노,名詞,ピアノ,黒と白の鍵盤を指で叩いたり押したりして音を出す大きな楽器。
하늘,名詞,てん【天】。そら【空】,地上に無限に広がる空間。
하늘색,名詞,そらいろ【空色】,青と白の中間の色で、晴れた空のような色。
하루,名詞,いちにち【一日】,午前零時から午後12時までの24時間。
하숙비,名詞,げしゅくだい【下宿代】,人の家で生活するのにかかる部屋代・食費などの費用。
하숙집,名詞,げしゅく【下宿】。げしゅくや【下宿屋】,一定の金額を払って生活する家。
하얀색,名詞,しろいろ・はくしょく【白色】,雪や牛乳のような色。
하이킹,名詞,ハイキング,心身を鍛えるために、また、観光のために歩いて旅をすること。
해,名詞,ひ【日】。たいよう【太陽】,太陽系の中心にあって、温度が非常に高くて自ら光を放つ恒星。
해외,名詞,かいがい【海外】。がいこく【外国】,自分の国ではない、よその国。
해외여행,名詞,かいがいりょこう【海外旅行】,外国へ旅行すること。また、その旅行。
허리,名詞,こし【腰】,人や動物の身体で肋骨の下から尻骨までの部分。
혀,名詞,した【舌】。べろ,人間や動物の口腔底にある、長くて赤い肉。
호랑이,名詞,とら【虎】,黄褐色の体に黒色の横縞があって、他の動物を捕食する図体の大きい動物。
호수,名詞,みずうみ【湖】,土で囲まれ、池より大きく深いもの。
호텔,名詞,ホテル,施設が完備されていて、規模の大きい高級宿泊施設。
화,名詞,いかり【怒り】。いきどおり【憤り】。はらだち【腹立ち】,不機嫌になったり怒ったりする感情。
화가,名詞,がか【画家】。えかき【絵かき】,絵を専門的に描く人。
화요일,名詞,かようび【火曜日】,月曜日を基準にした一週間の2日目。
화장실,名詞,けしょうしつ【化粧室】。おてあらい【お手洗い】。トイレ,大便や小便ができる施設を設けた場所。
화장품,名詞,けしょうひん【化粧品】,きれいに飾るために、または肌を手入れするために顔に塗るもの。
회,名詞,さしみ【刺身】,肉や魚などを生のまま薄く切って食べる料理。
회사,名詞,かいしゃ【会社】,商行為などを通した営利を目的に多数の人が集まって設立した社団法人。
회사원,名詞,かいしゃいん【会社員】,会社に属して働く人。
회색,名詞,はいいろ【灰色】,黒と白の中間で、灰の色のような色。
회원,名詞,かいいん【会員】,ある会の構成員。
회의,名詞,かいぎ【会議】,何人ものの人が集まって議論すること。また、その会合。
후배,名詞,こうはい【後輩】,同じ分野で、自分より遅く仕事を始めた人。
휴가,名詞,きゅうか【休暇】,職場や軍隊などの団体に属している人が一定の期間、仕事先から離れて休みを取ること。また、その期間。
휴게실,名詞,きゅうけいしつ【休憩室】,しばらく立ち寄って休めるように設けた部屋。
휴대폰,名詞,けいたいでんわ【携帯電話】。けいたい【携帯】。ケータイ,持ち歩きながら使用できる、小型の無線電話機。
휴일,名詞,きゅうじつ【休日】,日曜日や祝日などのような、仕事をせずに休む日。
휴지,名詞,かみくず【紙くず】,使い道のない紙。
휴지통,名詞,くずいれ【屑入れ】。くずかご【屑篭】,使い物にならない紙やゴミなどを捨てる器や籠。
희망,名詞,きぼう【希望】。のぞみ【望み】,将来よいことがあると期待して望むこと。
가까이,名詞/副詞,ちかく【近く】。きんじょ【近所】 | ちかく【近く】,遠くなく、近い所。 | 距離が遠くなく。
가장,名詞/副詞,かちょう【家長】 | もっとも【最も】。いちばん【一番】。なによりも【何よりも】,一家を代表し、責任を持つ人。主に一家の成人男性。 | 他のどれよりもまさるさま。
거의,名詞/副詞,ほとんど。ほぼ。おおよそ【大凡】。だいたい【大体】 | ほとんど,"全部から少し足りない程度。
 | 全部ではなく、やや足らずに。"
계속,名詞/副詞,"けいぞく【継続】
 | つづけて【続けて】","絶えることなく続けていくこと。
 | 途切れずに続けて。"
그저께,名詞/副詞,おととい・いっさくじつ【一昨日】 | おととい【一昨日】,昨日の前日。二日前。 | 昨日の前日。二日前に。
내일,名詞/副詞,"あした・あす・みょうにち【明日】
 | あした【明日】","今日の次の日。
 | 今日の翌日に。"
다,名詞/副詞,"すべて【全て】。ぜんぶ【全部】。みんな。みな【皆】
 | ぜんぶ【全部】。すべて【全て】。みな【皆】。のこらず【残らず】。もれなく","残すものなく、漏れなく全て。
 | 残ったり、漏れたものがなく、全て。"
대부분,名詞/副詞,だいぶぶん【大部分】。たいはん【大半】。かはん【過半】 | たいはん【大半】。ほとんど【殆ど】。おおかた【大方】。だいぶぶん【大部分】,"半分をはるかに超え、全体に近い数や量。
 | 半分を大きく上回って全体に近い程度に。"
매년,名詞/副詞,まいとし・まいねん【毎年】 | まいとし・まいねん【毎年】。としごと【年毎】,としごと。 | 年ごとに。
매달,名詞/副詞,"まいつき・まいげつ【毎月】
 | まいつき・まいげつ【毎月】。つきごと【月毎】",ひとつきひとつき。 | それぞれの月ごとに。
매일,名詞/副詞,まいにち【毎日】 | まいにち【毎日】,日ごと。 | 一日も欠かさず。
매주,名詞/副詞,まいしゅう【毎週】 | まいしゅう【毎週】。しゅうごと【週毎】。かくしゅう【各週】,週ごと。 | それぞれの週ごとに。
모두,名詞/副詞,みな・みんな【皆】 | みんな。みな【皆】。すべて,残ったり、抜けたりすることのない全体。 | 欠如なしに全部。
모레,名詞/副詞,"あさって【明後日】
 | あさって【明後日】",明日の次の日。 | 明日の次の日に。
보통,名詞/副詞,"ふつう【普通】。なみ【並み】。へいぼん【平凡】。ちゅうかん【中間】
 | ふつう【普通】。だいたい【大体】","よく目にするため、特別でなく平凡である。また、勝っても劣ってもいず、中間ぐらい。
 | 一般的に。または、頻繁に。"
사실,名詞/副詞,じじつ【事実】。ほんとう【本当】 | じじつ【事実】。じつは【実は】,"実際にあったことや現在起きていること。
 | 実際に。"
서로,名詞/副詞,たがい【互い】。そうほう【双方】 | たがいに【互いに】。そうほうともに【双方ともに】。そうごに【相互に】,対を成したり相対する関係にある相手。 | 関係する二者以上の対象がそれぞれの相手に対して。
스스로,名詞/副詞,"みずから【自ら】
 | みずから【自ら】","自分自身。
 | 他人の力を借りずに、自分の力で。"
아까,名詞/副詞,さっき。さきほど【先程】。すこしまえ【少し前】 | さっき【先】。さきほど【先程】。せんこく【先刻】,今から少し前の時。 | 少し前に。
어제,名詞/副詞,"きのう・さくじつ【昨日】
 | きのう【昨日】","今日より1日前の日。
 | 今日の一日前の日に。"
오늘,名詞/副詞,きょう【今日】。ほんじつ【本日】 | きょう【今日】。ほんじつ【本日】,今過ごしているこの日。 | 今過ごしているこの日に。
이제,名詞/副詞,いま【今】 | ただいま【只今・唯今】,言っている瞬間。 | 言っている瞬間に。
제일,名詞/副詞,だいいち【第一】。いちばん【一番】 | いちばん【一番】。もっとも【最も】,最も大切なこと。 | 多くの中で最高に。
조금,名詞/副詞,すこし【少し】。わずか【僅か・纔か】。ちょっと【一寸・鳥渡】 | すこし【少し】。わずか【僅か・纔か】。ちょっと【一寸・鳥渡】,少ない分量や少ない程度。 | 分量や程度が少ないさま。
지금,名詞/副詞,いま【今】。ただいま【ただ今】	 | いま【今】。ただいま【ただ今】,"話をしているこの瞬間。または即時に。
 | 話をしているこの瞬間。"
하나,名詞/数詞,ひとつ【一つ】。いちがん【一丸】 | ひとつ【一つ】。いち【一・壱】,"志、心、考えなどが一致したりまとまったりすること。
 | 数字を数えるときの最初の数。"
가지,名詞/依存名詞,ナス【茄子】 | しゅるい【種類】。しゅ【種】,"紫黒色の長い円筒模様で、煮ておかずとして食べる実。また、その実が開花する草。
 | 物の種類を数える語。"
개,名詞/依存名詞,"いぬ【犬】
 | こ【個】","臭覚や聴覚が鋭く、利口で人に良くなつくため、狩りやペットの目的で飼う動物。
 | 個々になっているものを数える単位。"
거리,名詞/依存名詞,"まち【街・町】。とおり【通り】
 | たね【種】","人や車が行き交う道。
 | 内容となるにふさわしい対象や材料。"
노트,名詞/依存名詞,ノート | ノット,文字を書いたり、絵が描けるように白紙や線のある紙を束ねた本。 | 船舶の進む速度を表す語。
배,名詞/依存名詞,はら【腹】。ふくぶ【腹部】 | ふね【船】 | なし【梨】 | はい【杯】,"人間や動物の体で、胸の下から脚の上までの部分。 | 人や荷物をのせて水上を行き来する交通機関。

 | 皮は黄色くて果実は白く、水分が多くて甘みのある、秋に収穫する丸い果物。 | 酒類や飲料の入った杯を数える単位。"
수,名詞/依存名詞,すい【水】。すいよう【水曜】。すいようび【水曜日】 | て【手】,"ある事を行うための能力、またはある事態が起こる可能性。
 | 月曜日を基準にした一週の第3日。 | 囲碁や将棋で交代で一回ずつ石や駒を動かす回数を数える単位。"
시,名詞/依存名詞,"し【市】 | じ【時】 | し【詩】
 | じ【時】","都市を中心とする地方公共団体。 | 人が生まれた時刻。 | 書き手の思いと気持ちをリズムのある形式で表現した文学作品。
 | 一日を24に分けた時、そのうち一つを表す時間の単位。"
시간,名詞/依存名詞,"じかん【時間】
 | じかん【時間】","ある時から別の時までの間。
 | 一日の24分の1にあたる時間を表す単位。"
주일,名詞/依存名詞,しゅう【週】。しゅうじつ【週日】 | ちゅうにち【駐日】 | しゅう【週】。しゅうかん【週間】,月曜日から日曜日までの7日間。 | 日本に駐在すること。 | 月曜日から日曜日までの7日を数える単位。
초,名詞/依存名詞,す【酢】 | はじめ【初め】。しょき【初期】 | びょう【秒】,"原料を醗酵させて作る、酸味のする液体調味料。
 | ある期間の初めや初期。 | 時間で、1分の60分の1を表す単位。"
가끔,副詞,たまに,稀に1回ずつ。
가득,副詞,いっぱい【一杯】。いっぱいに【一杯に】。ぎっしり。ぎっしりと。なみなみ。なみなみと,何かの数量が決められた範囲に詰まっている様子。
그냥,副詞,そのまま,何もせず、そのまま。
그래서,副詞,,前の内容が後ろの内容の原因、または根拠、条件などになる時に用いる語。
그러나,副詞,しかし,前の内容と後ろの内容が互いに反対になる時に用いる語。
그러니까,副詞,それゆえ【それ故】,そのような理由で。または、そんなわけで。
그러면,副詞,だったら,前の内容が後ろの内容の条件になる時に用いる語。
그러므로,副詞,だから,前の内容が後ろの内容の理由や原因、根拠になる時に使う語。
그런데,副詞,しかし,話題を前の内容と関連づけて他の方向に変える時に用いる語。
그렇지만,副詞,しかし,先に話した内容と対立する内容を表し、それが事実であるけれども。
그리고,副詞,そして,前の内容に続いて後ろの内容を単純に並べる時に用いる語。
그만,副詞,ここまで,もうこのぐらいまで。
깨끗이,副詞,きれいに,よごれがなく。
너무,副詞,あまりに,一定の程度や限界をはるかに超えた状態で。
다시,副詞,また【又】。ふたたび【再び】。もういちど【もう一度】。さらに,同じ言葉や行動を繰り返してまた。
더,副詞,もっと。ますます。いっそう【一層】。さらに,付け加えられて続くさま。
더욱,副詞,もっと。なお。いっそう【一層】。さらに【更に】,程度がいっそうひどく。もっと大きく。
드디어,副詞,とうとう。ついに。けっきょく【結局】。いよいよ,待っていた物事がしまいに。結局は。
따로,副詞,べつに【別に】。べっとに【別途に】,他の物事と一緒であったり混ざったりしないように。
또,副詞,また。ふたたび【再び】。もういちど【もう一度】。あらためて【改めて】,ある出来事や行動がもう一度。
또는,副詞,それとも。または。あるいは,それでなければ。
매우,副詞,とても。たいへん【大変】。ずいぶん【随分】。ひじょうに【非常に】,普通よりずっと。
무척,副詞,とても。ひじょうに【非常に】。たいへん【大変】,他のことと比べものにならないほど。
미리,副詞,あらかじめ【予め】。まえもって【前もって】,何かが始まる前に。
