韓国語,品詞,日本語訳,定義
새,冠形詞/名詞,"とり【鳥】
 | しん【新】","体に羽や翼があり、2本足の、飛ぶ動物。
 | 既に存在するものではなく、初めてできたものの。"
구,冠形詞/名詞/数詞,"く【句】 | く【区】
 | きゅう・く【九】	 | きゅう【九】","2つ以上の単語が集まって文の一部分をなす言葉の単位。 | 特別市・広域市および人口50万以上の大都市の洞の上の行政区域単位。
 | 8に1を足した数。
 | 9の。"
다섯째,冠形詞/名詞/数詞,"いつつめ【五つ目】
 | いつつめ【五つ目】。ごばんめ【五番目】	 | いつつめの【五つ目の】。ごばんめの【五番目の】","最初から数えて5番目になること。
 | 順番の5番目。
 | 最初から数えて5番目になるさま。"
주,冠形詞/名詞/依存名詞,ちゅう【注・註】 | しゅう【週】 | しゅたる【主たる】。おもな【主な】,文章や言葉のある部分に対し、その意味を詳しく理解できるように書いておいた文句。 | 月曜日から日曜日までの7日間を一区切りとして数える単位。 | 基本や中心となるさま。
구십,冠形詞/数詞,きゅうじゅう・くじゅう【九十】	 | きゅうじゅうの【九十の】,"10の9倍になる数。
 | 九十になるさま。"
네다섯,冠形詞/数詞,よっつかいつつ【四つか五つ】	 | しご【四五】,"四つか五つくらいの数。
 | 4か5ぐらいの。四つか五つぐらいの。"
다섯,冠形詞/数詞,ご【五】。いつつ【五つ】 | ご【五】。いつつ【五つ】,"四つに一つを足した数。
 | 四に一を足した数の。"
마흔,冠形詞/数詞,しじゅう・よんじゅう【四十】	 | しじゅう・よんじゅう【四十】,"十の4倍になる数。
 | 10の4倍の数の。"
사,冠形詞/数詞,し・よん【四】	 | よんの【四の】,"3に1を足した数。
 | 4の。四つの。"
사십,冠形詞/数詞,よんじゅう・しじゅう【四十】 | よんじゅうの・しじゅうの【四十の】,10の4倍になる数。 | 40の。四十の。
서른,冠形詞/数詞,さんじゅう【三十】 | さんじゅう【三十】,10の3倍となる数。 | 10の3倍となる数の。
아홉,冠形詞/数詞,"く・きゅう・ここ・ここの【九】
 | きゅう・く【九】","八に一を足した数。
 | 8に1を足した数の。"
아흔,冠形詞/数詞,きゅうじゅう【九十】 | きゅうじゅう【九十】,10の9倍となる数。 | 10の9倍となる数の。
여덟,冠形詞/数詞,やつ・やっつ【八つ】。はち【八】 | やつ・やっつ【八つ】。はち【八】,七に一を足した数。 | 七に一を足した数の。
여든,冠形詞/数詞,はちじゅう【八十】 | はちじゅう【八十】,10の8倍となる数。 | 10の8倍となる数の。
여섯,冠形詞/数詞,むつ・むっつ【六つ】。ろく【六】 | むつ・むっつ【六つ】。ろく【六】,五に一を足した数。 | 五に一を足した数の。
예순,冠形詞/数詞,ろくじゅう【六十】 | ろくじゅう【六十】,10の6倍となる数。 | 10の6倍となる数の。
오,冠形詞/数詞,ご【五】	 | いつつの【五つの】,"4に1を足した数。
 | 五つの。"
오십,冠形詞/数詞,ごじゅう【五十】	 | ごじゅう【五十】,"10の5倍にあたる数。
 | 50の。"
이십,冠形詞/数詞,にじゅう【二十】 | にじゅう【二十】,10の2倍の数。 | 20の。
세,冠形詞/依存名詞,"さん・み・みっつ・みつ【三】
 | さい【歳・才】","三つの。
 | 年齢を数える単位。"
거기,代名詞,そこ。そちら。,聞き手に近い場所をさす語。
그거,代名詞,それ,聞き手に近いものや、聞き手が考えているものをさす語。
그것,代名詞,それ,聞き手に近いものや、聞き手が考えているものをさす語。
그곳,代名詞,そこ,聞き手に近い場所をさす語。
그분,代名詞,そのかた【その方】。あのかた【あの方】,その人やあの人を深い敬意をこめていう語。
그쪽,代名詞,そちら。そっち。そちらがわ【そちら側】。むこう【向こう】,聞き手に近い場所や方向をさす語。
나,代名詞,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,話し手が友人や目下の人に対し、自分をさす語。
내,代名詞,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,一人称代名詞「나」に主格助詞「가」があとにつく場合の形。
너,代名詞,おまえ【お前】。きみ【君】,聞き手が友人か目下の人である場合、その聞き手をさす語。
너희,代名詞,おまえたち【お前たち】。きみたち【君たち】。おまえら【お前等】。きみら【君等】,聞き手が複数の友人か目下の人たちである場合、その聞き手をさす語。
누구,代名詞,だれ【誰】,知らない人をさす語。
무엇,代名詞,なに【何】,未知の事実や事物を指していう語。
여기,代名詞,ここ,話し手に近い所をさしていう語。
여러분,代名詞,みなさん【皆さん】。みなさま【皆様】,複数の聞き手がいる場合、その聞き手たちを敬って呼ぶ語。
우리,代名詞,わたくしたち【私達】,話し手が自分と聞き手、またそれを含めた複数の人たちを指す語。
이거,代名詞,これ【此れ】,話し手の近くにあるものや話し手が考えていることを指す語。
이것,代名詞,これ,話し手の近くにあるか、話し手が考えている対象を指す語。
이곳,代名詞,ここ【此処・此所・此・是・爰・茲】。こちら【此方】。こっち【此方】,話し手に近いところを指す語。
이분,代名詞,このかた【此の方】,「この人」を深い敬意をこめていう語。
이쪽,代名詞,こち【此方】。こちら【此方】。こっち【此方】,話し手に近い所や方向を指す語。
저거,代名詞,あれ【彼】,話し手と聞き手から遠く離れているものを指す語。
저것,代名詞,あれ【彼】,話し手と聞き手から遠く離れているものを指す語。
저곳,代名詞,あそこ【彼処・彼所】。あちら【彼方】。あっち【彼方】,話し手や聞き手から遠く離れているところを指す語。
저기,代名詞,あそこ【彼処・彼所】。あちら【彼方】。あっち【彼方】,話し手や聞き手から遠く離れているところを指す語。
저분,代名詞,あのかた【彼の方】,「あの人」を深い敬意をこめていう語。
저쪽,代名詞,あち【彼方】。あちら【彼方】。あっち【彼方】,話し手と聞き手から遠く離れた所や方向を指す語。
저희,代名詞,わたくしたち【私達】。じぶんたち【自分達】,話し手が目上の人に自分を含めた複数の人を指していう語。
제,代名詞/品詞なし,わたくし【私】 | わたくしの【私の】,話し手が自分をへりくだっていう語である「저」に助詞「가」がつく時の形。 | 話し手が自分自身をへりくだっていう語である「저」に「의」が付いた「저의」の縮約形。
가까워지다,動詞,ちかづく【近付く】。ちかくなる【近くなる】,ある場所から他の場所までの距離が短くなる。
가까이하다,動詞,したしむ【親しむ】。ちかよる【近寄る】,親しくする。
가다,動詞,ゆく・いく【行く】。うつる【移る】,ある場所から他の場所へ移動する。
가르치다,動詞,おしえる【教える】,知識や技術などを説明して習得させる。
가리키다,動詞,さす【指す】。しめす【示す】,指や物をある方向や対象に向けて、それを知らせる。
가벼워지다,動詞,かるくなる【軽くなる】,軽い状態になる。
가위질하다,動詞,はさみをいれる【はさみを入れる】。はさみできる【はさみで切る】,はさみで切ったり、切り取る。
가져가다,動詞,もっていく【持っていく】。はこぶ【運ぶ】,あるものをある場所から他の場所へ移していく。
가져오다,動詞,もってくる【持ってくる】。はこぶ【運ぶ】,あるものをある場所から他の場所へ移してくる。
거절되다,動詞,きょぜつされる【拒絶される】。きょひされる【拒否される】。ことわられる【断られる】。えんりょされる【遠慮される】,頼みや提案、贈り物などが受け入れられない。
거절하다,動詞,きょぜつする【拒絶する】。きょひする【拒否する】。ことわる【断る】。えんりょする【遠慮する】,人からの頼みや提案、贈り物などを受け入れない。
거짓말하다,動詞,うそをつく【嘘を付く】。いつわる【偽る】,事実でないことを事実であるように偽って言う。
계산되다,動詞,けいさんされる【計算される】。かんじょうされる【勘定される】,数が数えられたり、足し算・引き算・掛け算・割り算などの勘定が行われたりする。
계산하다,動詞,けいさんする【計算する】。かんじょうする【勘定する】,数を数えたり、足し算・引き算・掛け算・割り算などの勘定をしたりする。
계속되다,動詞,つづく【続く】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】,絶えることなく続いていく。
계속하다,動詞,つづける【続ける】。けいぞくする【継続する】。れんぞくする【連続する】。じぞくする【持続する】,絶つことなく続けていく。
계획되다,動詞,けいかくされる【計画される】,これからの事がじっくり考えられて決められる。
계획하다,動詞,けいかくする【計画する】,これからの事をじっくり考えて決める。
