word,pos,meaning,definition,target_code
기간,명사,きかん【期間】,ある一定の時から、他の一定の時に至るまでの間。,71729
기다리다,동사,まつ【待つ】,"人や時期が来たり、あることが行われたりするまで時間を過ごす。
",62264
기르다,동사,そだてる【育てる】。かう【飼う】。やしなう【養う】,"動植物に餌や養分をやって、保護して、成長させる。
",62242
기름,명사,"あぶら【油・脂・膏】
","よく燃え、水に溶けない、ぬるぬるとした液体。
",40022
기분,명사,"きぶん【気分】。きもち【気持ち】
","不快・愉快・憂鬱・怒りなど感情の状態。
",20192
기뻐하다,동사,よろこぶ【喜ぶ】,"楽しく快い気持ちになる。
",61533
기쁘다,형용사,うれしい【嬉しい】,"愉快で楽しい。

",40078
기쁨,명사,よろこび【喜び】。うれしいきもち【うれしい気持ち】,気分がとても良く、楽しい感じ。,40080
기숙사,명사,りょう【寮】。きしゅくしゃ【寄宿舎】,学校や会社で、生徒・学生や職員が寝て食事するなどの生活ができるように提供する施設。,18273
기억,명사,きおく【記憶】。おもいで【思い出】。おぼえ【覚え】,以前の姿、事実、知識、経験などを忘れなかったり、再び思い出すこと。,38812
기억나다,동사,おもいだす【思い出す】,"以前の姿、事実、知識、経験などが心や頭の中によみがえる。
",17229
기억되다,동사,きおくされる【記憶される】。おぼえられる【覚えられる】,"以前の姿、事実、知識、経験などが忘れられなかったり、再び思い出したりする。 
",32513
기억하다,동사,きおくする【記憶する】。おぼえる【覚える】,"以前の姿、事実、知識、経験などを忘れなかったり、再び思い出したりする。 
",62319
기온,명사,きおん【気温】。おんど【温度】,空気の温度。,38103
기자,명사,"きしゃ【記者】
",新聞や雑誌、放送などに載せる記事を取材して書いたり編集したりする人。,61280
기차,명사,きしゃ【汽車】。れっしゃ【列車】。でんしゃ【電車】,人や物を載せて燃料の力で鉄道の上を走る、長さの長い車。,60632
기차역,명사,きしゃのえき【汽車の駅】。えき【駅】,汽車に乗り降りする場所。,38193
기차표,명사,きしゃのきっぷ【汽車の切符】。きっぷ【切符】,汽車に乗るために金を出して買う切符。,38196
기침,명사,せき【咳】,肺からのどを通って空気が荒い音を出しながら急に出ること。,38465
기침감기,명사,せきかぜ【咳風邪】,咳のひどい風邪。,23863
기침하다,동사,せきをする【咳をする】,肺からのどを通って空気が荒い音を出しながら急に出る。,38466
기타,명사,ギター,表裏が平たく、真ん中が細くて長い桶に、六つの弦を結び、指で弾いて演奏する楽器。,38467
기회,명사,"きかい【機会】。チャンス
","何かするのに最も都合のいい時機や場合。
",73494
까만색,명사,くろ【黒】。こくしょく【黒色】,光がない時の夜空や墨のような色。,32548
까맣다,형용사,まっくろい【真っ黒い】,明かりがまったくない夜空のように濃い黒。,64358
깨끗이,부사,きれいに,よごれがなく。,61076
깨끗하다,형용사,きれいだ【綺麗だ】,"よごれがなく清潔だ。
",60323
깨다,동사,さめる【覚める】,"酔っている状態などから、意識のはっきりした状態に戻る。
",62332
꺼내다,동사,だす【出す】。とりだす【取り出す】。もちだす【持ち出す】,"中にある物を外に移す。
",62265
꾸다,동사,みる【見る】,"寝ている間、夢の中で実際のように見て、聞いて、感じる。
",62352
끄다,동사,けす【消す】,"燃えている火をなくならせる。
",73443
끼다,동사,はさむ【挟む】。さしこむ【差し込む】。はめる【填める】,"物と物との間に何かを入れて落ちないようにする。
",61097
나,대명사,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】	,"話し手が友人や目下の人に対し、自分をさす語。
",60931
나가다,동사,でる【出る】,"ある地域や空間の中から外へ移動する。
",71456
나누다,동사,わける【分ける】。わる【割る】。ぶんかつする【分割する】,"一つにまとまっている物をいくつかの部分にする。
",29749
나다,동사,できる【出来る】。はえる【生える】,"皮膚の表面や地上に出て来る。
",62210
나라,명사,こっか【国家】,一定の領土、主権を持っている人々の社会的な組織。,29699
나머지,명사,"あまり【余り】。よぶん【余分】。のこり【残り】。よじょう【余剰】
","ある量を満たした後、余った分。
",59230
나무,명사,き【木・樹】。じゅもく【樹木】,しっかりした幹に枝と葉がついた、数年間にわたって育つ植物。,32750
나쁘다,형용사,わるい【悪い】,よくない。,26816
나오다,동사,でる【出る】,"中から外へ移動する。
",62233
나이,명사,"とし【年・歳】。ねんれい【年齢】。よわい【齢】
","人や動植物などが生まれてから生きてきた年数。
",60486
나중,명사,"あと・のち【後】。のちほど【後程】
","一定の時間が過ぎた後。
",62275
나타나다,동사,あらわれる【現れる】,"見えなかった物の姿が見えるようになる。
",62286
나흘,명사,"よっか【四日】。よっかかん【四日間】
","日数が四つ。
",16315
내,대명사,わたし【私】。ぼく【僕】。おれ【俺】。じぶん【自分】,一人称代名詞「나」に主格助詞「가」があとにつく場合の形。,41385
내과,명사,ないか【内科】,主に薬品で内蔵器官の疾病を治療する医学分野。また、その分野の病医院。,28417
내년,명사,らいねん【来年】。よくねん【翌年】。みょうねん【明年】。つぎとし【次年】,"今年のすぐ次の年。
",64517
내다,동사,とおす【通す】。ひらく【開く】。つくる【作る】,"道や通路、窓などができるようにする。
",89906
내려가다,동사,おりる【下りる】。くだる【下る】,"上から下へ行く。
",63723
내려오다,동사,おりる【下りる】。くだる【下る】,"高い所から低い所へ、また上から下へ来る。
",64559
내리다,동사,ふる【降る】,"雪や雨などが落ちて来る。
",73353
내용,명사,"ないよう【内容】。なかみ【中身】
","器・箱などの中に入っているもの。
",72573
내일,명사,"あした・あす・みょうにち【明日】
","今日の次の日。
",30193
내일,부사,"あした【明日】
","今日の翌日に。
",30194
내일모레,명사,"あさって・みょうごにち【明後日】
","明日の次の日。
",39894
너,대명사,おまえ【お前】。きみ【君】	,"聞き手が友人か目下の人である場合、その聞き手をさす語。
",64390
너무,부사,あまりに,一定の程度や限界をはるかに超えた状態で。,28183
너희,대명사,おまえたち【お前たち】。きみたち【君たち】。おまえら【お前等】。きみら【君等】,"聞き手が複数の友人か目下の人たちである場合、その聞き手をさす語。
",61180
네,대명사,おまえ【お前】。きみ【君】,二人称代名詞「너」に主格助詞「가」があとにつく場合の形。,89180
네,관형사,よっつの【四つの】	,"四つの。
",64556
네,감탄사,はい　,目上の人の呼びかけに答える時にいう語。,17294
네,품사 없음,あなたの。きみの【君の】。おまえの【お前の】	,"｢너의｣の縮約形。 
",84427
네거리,명사,じゅうじろ【十字路】。よつかど【四つ角】。こうさてん【交差点】,道が一ヵ所で四つの方向に分かれたところ。,41416
