word,pos,meaning,definition,target_codes
너무,副詞,あまりに,一定の程度や限界をはるかに超えた状態で。,28183
너희,代名詞,おまえたち【お前たち】。きみたち【君たち】。おまえら【お前等】。きみら【君等】,"聞き手が複数の友人か目下の人たちである場合、その聞き手をさす語。
",61180
넌,品詞なし,あなたは。きみは【君は】。おまえは【お前は】	,"「너는」の縮約形。 
",86216
널,品詞なし,あなたを。きみを【君を】。おまえを【お前を】	,"「너를」の縮約形。 
",86062
넓다,形容詞,ひろい【広い】,面や床などの面積が広い。,64511
넘다,動詞,こえる【越える・超える】,"ある時間、時期などが過ぎたり、期限、範囲などを超過するようになる。
",64524
넘어지다,動詞,ころぶ【転ぶ】,"立っていた人や物がバランスを失って一方に傾いて倒れる。
",62363
넣다,動詞,いれる【入れる】,"ある空間の中に入らせる。
",64509
네,代名詞/冠形詞/品詞なし/感嘆詞,おまえ【お前】。きみ【君】 | よっつの【四つの】	 | はい　 | あなたの。きみの【君の】。おまえの【お前の】	,"二人称代名詞「너」に主格助詞「가」があとにつく場合の形。 | 四つの。
 | 目上の人の呼びかけに答える時にいう語。 | ｢너의｣の縮約形。 
","89180,64556,17294,84427"
네거리,名詞,じゅうじろ【十字路】。よつかど【四つ角】。こうさてん【交差点】,道が一ヵ所で四つの方向に分かれたところ。,41416
네다섯,冠形詞/数詞,よっつかいつつ【四つか五つ】	 | しご【四五】,"四つか五つくらいの数。
 | 4か5ぐらいの。四つか五つぐらいの。

","87362,88337"
네발,名詞,よつあし【四つ足】。しそく【四足】,動物や事物にぶら下がっている4本の足。,20513
넥타이,名詞,ネクタイ,主に洋服を着るときワイシャツの首に結ぶ細くて長い布。,17258
넥타이핀,名詞,ネクタイピン。タイピン。ネクタイどめ【ネクタイ留め】,ネクタイがあちこち揺れないようにしたり、洒落るために留めるピン。,41581
넷,数詞,よん・し【四】	,"3に１を足した数。
",34873
넷째,冠形詞/名詞/数詞,よっつめ【四つ目】 | よっつめ【四つ目】。よんばんめ【四番目】	 | よっつめの【四つ目の】。よんばんめの【四番目の】	,"最初から数えて4番目になること。 | 順番の4番目。
 | 4番目の。
","90892,26821,71735"
년,依存名詞,ねん【年】,年数を数える単位。,26823
노란색,名詞,きいろ【黄色】。イエロー,"ひよこやバナナと同じ色。
",17234
노랗다,形容詞,きいろい【黄色い】,色がバナナやレモンのようだ。,40101
