word,pos,meaning,definition,target_codes
느끼다,동사,かんずる【感ずる】。おぼえる【覚える】,"鼻や肌などの感覚器官で刺激を受け取る。
",64376
다녀오다,동사,いってくる【行って来る】,"ある所に行って帰ってくる。
",64529
다니다,동사,かよう【通う】,"あるところに何度も出入りする。
",29702
다치다,동사,きずつく【傷付く】。けがする【怪我する】。ふしょうする【負傷する】,"ぶつかったり殴られたりして体や体の一部に傷を負う。また、傷を負わせる。
",73400
다하다,동사,つきる【尽きる】,"全部使ってしまったり続かなくなったりする。
",61526
대답하다,동사,こたえる【答える】。へんとうする【返答する】。へんじする【返事する】,"呼びかけに対して言葉で応じる。
",85938
대화하다,동사,たいわする【対話する】。はなす【話す】。かいわする【会話する】。おしゃべりする【御喋りする】,"向かい合って話し合う。
",62376
더워지다,동사,あつくなる【暑くなる】。あつくなる【熱くなる】。ねっする【熱する】,"温度が上がる。また、それによってあつさを感じる。
",47398
데려가다,동사,つれていく【連れて行く】,"連れて一緒に行く。
",64541
데려오다,동사,つれてくる【連れて来る】,"連れて一緒に来る。
",14379
데이트하다,동사,デートする,"男女が付き合うために会う。 
",90688
도시하다,동사,ずしする【図示する】,"絵や図表で示す。
",47606
도와주다,동사,たすける【助ける】。てつだう【手伝う】。てだすけする【手助けする】。サポートする,"他人の仕事に力を貸す。
",70744
도착하다,동사,とうちゃくする【到着する】。つく【着く】,"目的地に行きつく。 
",70745
되다,동사,なる,新たな身分や地位を持つ。,89858
두다,동사,"おく【置く】
","ある場所にとどめる。
",67470
디자인하다,동사,デザインする,"衣装・工業製品・建築など、実用的な目的を持った作品を設計したり図案を描いたりする。 
",54449
떠나다,동사,さる【去る】。いく【行く】,"現在いるところから他のところに移って行く。
",53746
떠들다,동사,さわぐ【騒ぐ】,"大声でうるさく言う。
",64655
뛰다,동사,"はしる【走る】。かける【駆ける】
","足を素早く動かして前へ進む。
",74124
뛰어가다,동사,はしっていく【走って行く】。かける【駆ける】。かけよる【駆け寄る】。かけつける【駆付ける】。とんでいく【飛んで行く】,"どこかに速く走って行く。
",14439
뜨다,동사,"あける【開ける】
","閉じていた目を開く。
",62313
마르다,동사,かわく【乾く】,"水気が蒸発してすっかりなくなる。
",64677
마시다,동사,のむ【飲む】。すう【吸う】。くらう【食らう】,"水などの液体を喉へ送り込む。
",64682
마중하다,동사,でむかえる【出迎える】,"駅や空港などに出向いて、自分を訪ねてきた人を迎える。 
",56086
마치다,동사,おえる【終える】。すます【済ます】,"続けてきた仕事や課程が終わる。また、そうさせる。
",61135
매다,동사,むすぶ【結ぶ】,"離れたり解けたりしないように、紐や縄の両端を組んでつなぐ。
",26487
메다,동사,かつぐ【担ぐ】。になう【担う】。せおう【背負う】,"ものを肩や背中などに載せる。
",62085
메모하다,동사,メモする。かきとめる【書き留める】,"忘れないように、または他の人に伝えるために、ある内容を簡単に書き記しておく。
",55808
모르다,동사,"しらない【知らない】。わからない【分からない】
","人・物・事実などを知らない、または分からない。
",29712
모시다,동사,つかえる【仕える】,目上の人や尊敬する人のそばで、世話をしたり一緒に暮らしたりする。,64703
모으다,동사,あつめる【集める】。そろえる【揃える】。まとめる【纏める】,"ばらばらのものを一塊にする。
",74137
모이다,동사,あつまる【集まる】。そろう【揃う】。まとまる【纏まる】,"ばらばらのものが一塊になる。
",91162
모자라다,동사,ふそくする【不足する】。たりない【足りない】,"決まった数、量や程度に至らない。
",46143
무거워지다,동사,おもくなる【重くなる】,"重い状態になる。
",54869
미끄러지다,동사,"すべる【滑る】。スリップする
","つるつるの場所で一方向へ押されたり、転倒する。
",15748
바꾸다,동사,かえる【変える・替える・換える・代える】。きりかえる【切り替える・切り換える】,元々あったものを無くして、他のものにかえる。,17198
바뀌다,동사,かわる【替わる・代わる】。いれかわる【入れ替わる・入れ代わる】,"元のものが他のもので代替される。
",61179
바라다,동사,ねがう【願う】。のぞむ【望む】,"考えや希望がかなうことを期待する。
",58156
바라보다,동사,ながめる【眺める】。みつめる【見詰める】。のぞむ【望む】,"正面から見る。
",64743
바르다,동사,はりつける【貼り付ける・張り付ける】,"紙などに糊を塗って他の物の表面につける。
",62652
배달되다,동사,はいたつされる【配達される】。でまえされる【出前される】,"郵便物や商品、食べ物が届けられる。
",58798
배달하다,동사,はいたつする【配達する】。でまえする【出前する】,"郵便物や商品、食べ物を届ける。
",58801
배우다,동사,まなぶ【学ぶ】。ならう【習う】,"新しい知識を得る。
",62088
버리다,동사,すてる【捨てる・棄てる】,"不用のものを投げ出したり流したりする。
",65570
보내다,동사,おくる【送る】。しおくる【仕送る】。おくりだす【送り出す】。やる【遣る】,"人や物などを他のところに移動させる。
",66375
보이다,동사,みえる【見える】 | みせる【見せる】,"目で対象の存在や見かけが分かるようになる。
 | 目で対象の存在や見かけが分かるようにする。
","62091,59531"
부치다,동사,おくる【送る】 。だす【出す】。さしだす【差し出す】,"手紙や物などを届ける。
",62365
부탁하다,동사,たのむ【頼む】。いらいする【依頼する】,"何かをしてほしいと伝えて願う。
",61517
비교되다,동사,ひかくされる【比較される】。くらべられる【比べられる】,"二つ以上のものが並べられて、同じ点と違う点が見比べられる。
",60915
비교하다,동사,ひかくする【比較する】。くらべる【比べる】,"二つ以上のものを並べて、同じ点と違う点を見比べる。
",63522
비다,동사,"あく【空く】。からである【空である】
","ある空間に誰も、もしくは何もない。
",15680
빠지다,동사,おちる【落ちる】。おちこむ【落ち込む】。おちいる【陥る・落ち入る】。おぼれる【溺れる】,"水やくぼみなどに落ちて中に入る。
",71273
빼다,동사,"ぬく【抜く】。はずす【外す】
","中に入っていたり刺さっているものを外へ出す。
",85714
사귀다,동사,つきあう【付き合う】。こうさいする【交際する】,"知り合って、親しくなる。
",15656
사다,동사,かう【買う】。こうにゅうする【購入する】,金を払って品物や権利などを自分のものにする。,49419
사랑하다,동사,あいする【愛する】。こいする【恋する】,相手に性的な魅力を感じて、熱烈に恋い慕う。,62743
사업하다,동사,じぎょうをする【事業をする】。ビジネスをする,"経済的な利益を得るために、ある組職を経営する。
",61507
사용되다,동사,しようされる【使用される】。つかわれる【使われる】。もちいられる【用いられる】,何かが必要なことや機能に合わせて使われる。,66652
사용하다,동사,しようする【使用する】。つかう【使う】。もちいる【用いる】,"何かを必要なことや機能に合わせて使う。
",61643
샤워하다,동사,シャワーをあびる【シャワーを浴びる】,雨のように水を噴出させる器具を使用して体を洗う。,62299
서다,동사,"たつ【立つ】
","人間や動物が地面に足をつけて体をまっすぐにする。
",68756
서두르다,동사,いそぐ【急ぐ】,早く目的に達するように、慌ただしく行動する。,62311
서비스하다,동사,サービスする,製品を直接作らない、販売・観光・金融・医療などの活動をする。,63029
세배하다,동사,セベする【歳拝する】,お正月に目上の人に対するあいさつとしてお辞儀をする。,70185
세수하다,동사,"せんめんする【洗面する】。せんがんする【洗顔する】。てあらいする【手洗いする】 ",湯水で手や顔を洗う。,63549
세우다,동사,たてる【立てる】。おこす【起こす】,人や動物の足を地面につかせ、体をまっすぐにさせる。立たせる。,58163
세탁하다,동사,せんたくする【洗濯する】。せんじょうする【洗浄する】。クリーニングする,汚れた衣服を洗う。,90336
소개되다,동사,しょうかいされる【紹介される】,両方の仕事がうまく進められるように努められる。,71142
소개하다,동사,しょうかいする【紹介する】,両方の仕事がうまく進められるように努める。,84999
쇼핑하다,동사,ショッピングする。かいものする【買い物する】,デパートや商店街を回りながら見物し、買い物をする。,64153
수고하다,동사,くろうする【苦労する】。ろうくする【労苦する】,何かをするのに力を尽くす。,64031
수술하다,동사,しゅじゅつする【手術する】。オペする,病気を治すために体の一部を切断したり縫ったりする。,65026
수업하다,동사,じゅぎょうする【授業する】,教師が生徒・学生に知識や技術を教える。,64601
수영하다,동사,すいえいする【水泳する】。およぐ【泳ぐ】,水の中を泳ぐ。,64613
쉬다,동사,やすむ【休む】。くつろぐ【寛ぐ】。きゅうそくする【休息する】。きゅうけいする【休憩する】 | こきゅうする【呼吸する】。いきをする【息をする】,疲れをとるために体を楽にする。 | 鼻や目で息を吸ったり吐いたりする。,"71280,62819"
쉬워지다,동사,やさしくなる。かんたんになる【簡単になる】,やりづらくなかったり、難しくない状態になる。,600599
시작되다,동사,はじまる【始まる】,物事や行動の最初の段階が行われる。,66566
시작하다,동사,"はじめる【始める】。てがける【手掛ける】。おこす【起す】
","ある事や行動の初めの段階になったり、すること。また、そのような段階。
",66567
시키다,동사,させる,ある仕事や行動をするように仕向ける。,29769
싸우다,동사,けんかする【喧嘩する】。あらそう【争う】。たたかう【戦う】。いさかう【諍う】,言葉や力で勝とうとする。,29732
아르바이트하다,동사,アルバイトする。バイトする,収入を得るために本業とは別の仕事を臨時にする。,66815
