word,pos,meaning,definition,tags,target_codes
건달,名詞,ごろつき。ごろ。よたもの【与太者】,職業を持たずあちこちをうろついて他人から金品をゆすり、援助をもらって生きていく人。,名詞 level2,23614
건더기,名詞,ぐ【具】,あつもの、チゲ料理といった汁物に入っている肉や野菜などの副材料。,名詞 level2,23616
건드리다,動詞,さわる【触る】。ふれる【触れる】,手を軽くつけたり、何かをかざしたりする。,動詞 level2,16289
건반,名詞,"けんばん【鍵盤】
",ピアノやオルガンなどの楽器で、指で押したり叩くことで音を出せるようにした部分。,名詞 level2,23625
건방,名詞,なまいき【生意気】,身の程知らずで出しゃばったり度を過ぎて自慢げに振る舞う態度。,名詞 level2,23627
건배,名詞,かんぱい【乾杯】,多くの人が喜ばしいことをお祝いしたり、願いがかなうように願いながら一緒に杯をかわすこと。,名詞 level2,23629
건배하다,動詞,かんぱいする【乾杯する】,"多くの人が喜ばしいことをお祝いしたり、願いがかなうように願いながら一緒に杯をかわす。 
",動詞 level2,23637
건빵,名詞,かんパン【乾パン】,携帯し易いように水分をなくして固く作った小さくて四角い菓子。,名詞 level2,23638
건설,名詞,けんせつ【建設】,建物や施設を新たに建てること。,名詞 level2,15888
건설되다,動詞,けんせつされる【建設される】,"建物や施設が新たに建てられる。 
",動詞 level2,15892
건설하다,動詞,けんせつする【建設する】,"建物や施設を新たに建てる。 
",動詞 level2,15897
건전지,名詞,かんでんち【乾電池】。バッテリー,カメラ・ラジオ・懐中電灯などに用いる、電気を起こす小さい物。,名詞 level2,25215
걷기,名詞,とほ【徒歩】。あるき【歩き】,歩くこと。,名詞 level2,15918
걷다,動詞,まきあげる【巻き上げる】。まくる【捲る】 | とりいれる【取り入れる・穫り入れる】,"垂れ下がったり広げられたりしているものを、引き上げたり巻いたりして上にあげる。
 | 熟れた穀物や果実を収穫する。
",動詞 level2,"15920,15933"
걷히다,動詞,はれる【晴れる】,"雲や霧などが消えてなくなる。
",動詞 level2,25394
걸다,動詞,かける【掛ける】,"ある物を落ちないようにどこかにつけてぶら下げる。
",動詞 level2,65528
걸레,名詞,ぞうきん【雑巾】,汚いものや水気をふき取るときに使う布切れ。,名詞 level2,25448
걸레질,名詞,ぞうきんがけ【雑巾がけ】,雑巾で汚れを拭き取ったり、こぼれ落ちた液体を拭い取ること。,名詞 level2,25481
걸레질하다,動詞,ぞうきんがけする【雑巾がけする】,"雑巾で汚れを拭き取ったり、こぼれ落ちた液体を拭い取ったりする。 
",動詞 level2,25527
걸상,名詞,こしかけ【腰掛】。いす【椅子】,人が座るために作った器具。,名詞 level2,25535
걸치다,動詞,かかる【掛かる】,"太陽、月、雲が山や峠などに乗っている。
",動詞 level2,16301
검다,形容詞,くろい【黒い】,光のない夜空のように色が暗くて濃い。,形容詞 level2,62259
검도,名詞,けんどう【剣道】,二人が竹刀で相手を打ったり突いたりして勝敗を争う競技。,名詞 level2,25126
검사,名詞,けんじ【検事】,犯罪を捜査して犯人を告発する公務員。,名詞 level2,15934
검사기,名詞,けんさき【検査機】,検査をするのに使う機械。,名詞 level2,25254
검사대,名詞,"けんさだい【検査台】
",ものを上に載せて検査をするのに使う台。,名詞 level2,25249
검사소,名詞,けんさじょ【検査所】,検査をする機関や場所。,名詞 level2,25245
검사장,名詞,けんさじょう【検査場】,検査をする場所。,名詞 level2,25241
검색,名詞,"けんさく【検索】。そうさく【捜索】
","不審な人や物を調べること。
",名詞 level2,25229
검색어,名詞,けんさくワード【検索ワード】,"主にインターネット上で入力する、探そうとする資料と関連した単語。
",名詞 level2,25217
검색하다,動詞,けんさくする【検索する】,"不審者やその人の所持品を確認して検査する。 
",動詞 level2,25210
검은깨,名詞,クロゴマ【黒胡麻】,黒い色のゴマ。,名詞 level2,30053
검은빛,名詞,くろいろ【黒色】,光がない時の夜空や墨のような色。,名詞 level2,30054
검정,名詞,くろ【黒】,光がない時の夜空や、墨のような色。,名詞 level2,30057
검토,名詞,"けんとう【検討】
",内容を詳細に調べ考えること。,名詞 level2,15936
검토되다,動詞,けんとうされる【検討される】,"ある事実や内容が詳細に調べられて分析される。
",動詞 level2,30084
검토하다,動詞,けんとうする【検討する】,"ある事実や内容を詳細に調べて分析する。
",動詞 level2,30086
겁,名詞,"おじけ・おぞけ【怖気】。きょうふしん【恐怖心】
","怖くて不安な気持ち。
",名詞 level2,62260
겁나다,動詞,こわがる【怖がる】。おそれる【恐れる】。おびえる【怯える】,"怖くて恐ろしいと思う。
",動詞 level2,15937
겁쟁이,名詞,おくびょうもの【臆病者】。よわむし【弱虫】。こわがり【怖がり】,物事に対してすぐ怖がる小心者。,名詞 level2,31325
겁주다,動詞,おどかす【脅かす】,"相手を恐れさせる。
",動詞 level2,31326
겉감,名詞,おもてじ【表地】,衣服や布団などの表に用いる布地。,名詞 level2,31330
겉멋,名詞,だて【伊達】。みえ【見栄・見え】,中身はないまま見かけだけ派手な服装や振る舞いをすること。,名詞 level2,31338
겉면,名詞,がいめん【外面】。ひょうめん【表面】,物の外側の面。または、物の外から見える面。,名詞 level2,31339
겉모습,名詞,がいぼう【外貌】。見かけ【みかけ】。がいかん【外観】,外から見える姿。,名詞 level2,31340
겉모양,名詞,がいぼう【外貌】。見かけ【みかけ】。がいかん【外観】,外から見える模様。,名詞 level2,31342
겉옷,名詞,うわぎ【上着】。がいい【外衣】,一番外側に着る服。,名詞 level2,31346
겉표지,名詞,"ひょうし【表紙】。おもて【表】
","本や文書などの外装の部分。
",名詞 level2,31352
겉핥기,名詞,なまかじり【生かじり】。かいなで【掻い撫で】。ひそうてき【皮相的】,内容を正しく把握せず上辺だけを見ること。,名詞 level2,31353
게,名詞,"かに【蟹】
","全身が硬い殻に包まれていて、足が10本あって横向きに歩行する動物。
",名詞 level2,15940
게다가,副詞,"さらに
","その上に。
",副詞 level2,62261
게시,名詞,けいじ【掲示】,多くの人に見てもらうために掲げて公開すること。,名詞 level2,26957
게시되다,動詞,けいじされる【掲示される】,多くの人に見てもらうために掲げられて公開される。,動詞 level2,26963
게시물,名詞,けいじぶつ【掲示物】,多くの人に見てもらうために掲げて公開した物や文。,名詞 level2,600514
게시판,名詞,けいじばん【掲示板】,お知らせを多くの人に知らせるために貼っておく板。,名詞 level2,15943
게시하다,動詞,けいじする【掲示する】,多くの人に見てもらうために掲げて公開する。,動詞 level2,26968
게으름,名詞,なまけ【怠け】。おこたり【怠り】。ぶしょう【不精】。ものぐさ,身体を動かしたり仕事をするのを面倒くさがる態度や習慣。,名詞 level2,28434
