word,pos,meaning,definition,tags,target_codes
요렇듯,品詞なし,"こう。このように
",｢요러하듯（｢요러하다｣の活用形）｣の縮約形。,品詞なし other,89720
요렇듯이,品詞なし,こう。このように,"｢요러하듯이（｢요러하다｣の活用形）｣の縮約形。
",品詞なし other,89721
요렇지,品詞なし,"こうで。こうであって
",｢요러하지（｢요러하다｣の活用形）｣の縮約形。,品詞なし other,89722
요르단,名詞,ヨルダン,"西アジアのアラビア半島北部にある国。国土の大部分が砂漠で住民の大多数がイスラム教徒である王国。公用語はアラブ語、首都はアンマン。
",名詞 other,69910
용궁,名詞,りゅうぐう【竜宮】,"昔話や伝説で海中にあるといわれる竜王の宮殿。
",名詞 other,69219
용띠,名詞,たつどし【辰年】,"辰年に生まれた人の干支。

",名詞 other,68733
용비어천가,名詞,りゅうひぎょてんか【龍飛御天歌】,朝鮮(チョソン)時代に世宗(セジョン)大王の命令で作った歌。訓民正音(世宗大王が創製・頒布した28字から成る韓国固有の文字の称)を使った最初の作品で、朝鮮(チョソン)建国の元祖を褒め称えた叙事詩。,名詞 other,68757
용왕,名詞,りゅうおう【竜王】。りゅうじん【竜神】,"海に住んで、水と水中生物をつかさどるとされる王。
",名詞 other,69256
우,名詞,ウ,"ハングル字母の「ㅜ」の名称。
",名詞 other,68790
우-,品詞なし,,,品詞なし other,80051
우간다,名詞,ウガンダ,"アフリカ東部の内陸にある国。山岳地帯が多く、コーヒー、綿、銅などがたくさん出る。公用語はスワヒリ語と英語、首都はカンパラ。
",名詞 other,69912
우거짓국,名詞,ウゴジクク,白菜・大根などの外側の葉や下葉を入れて、煮込んだスープ。,名詞 other,69420
우동,名詞,うどん【饂飩】,"太い麺。また、それをゆでてスープに入れて食べる料理。
",名詞 other,69454
우뢰,名詞,,,名詞 other,92356
우루과이,名詞,ウルグアイ,南アメリカ東部にある国。国土の大部分が丘陵と草原地帯で、畜産業が発達した国である。公用語はイスパニア語、首都はモンテビデオ。,名詞 other,69916
우루루,副詞,,,副詞 other,92357
욱박지르다,動詞,,,動詞 other,92358
울-,品詞なし,,,品詞なし other,93154
울려-,品詞なし,,,品詞なし other,80056
울릉도,名詞,ウルルンド【鬱陵島】,慶尚北道（キョンサンブクド）東側の東海に位置している火山島。冬は大雪が降り、名産はカボチャ飴とイカ。,名詞 other,68382
울리-,品詞なし,,,品詞なし other,93155
울산,名詞,ウルサン【蔚山】,慶尚南道（キョンサンナムド）東北側にある広域市。韓国最大の工業都市で、造船や自動車など重化学工業が発達。,名詞 other,68897
움직여-,品詞なし,,,品詞なし other,80057
움직이-,品詞なし,,,品詞なし other,93156
웃겨-,品詞なし,,,品詞なし other,80058
웃기-,品詞なし,,,品詞なし other,93157
웃도리,名詞,,,名詞 other,92359
웃목,名詞,,,名詞 other,92360
웃몸,名詞,,,名詞 other,92361
웃물,名詞,,,名詞 other,92362
웃방,名詞,,,名詞 other,92363
웃사람,名詞,,,名詞 other,92364
워,名詞,ウォ,"ハングル字母の「ㅝ」の名称。
",名詞 other,68791
워싱턴,名詞,ワシントン,アメリカのポトマック川の下流に位置する都市。アメリカの首都であり、アメリカ連邦政府が管理するコロンビア特別区を成している。,名詞 other,601390
원숭이띠,名詞,さるどし【申年】,"申年に生まれた人の干支。
",名詞 other,68727
원앙금침,名詞,,"オシドリを様々な色糸で刺繍した布団と枕。
",名詞 other,69978
월남,名詞,えつなん【越南】,"東南アジアのインドシナ半島にある国。「ベトナム」を韓国式の漢字音で読んだ名。
",名詞 other,69676
웨,名詞,ウェ,"ハングル字母の「ㅞ」の名称。
",名詞 other,68792
웨딩 숍,品詞なし,ウェディングショップ。ウェディングドレスショップ,結婚に必要な用品を販売またはレンタルしたり、結婚に関するサービスを専門的に提供する店。,品詞なし other,601350
위,名詞,ウィ,"ハングル字母の「ㅟ」の名称。
",名詞 other,68793
유,名詞,ユ,"ハングル字母の「ㅠ」の名称。
",名詞 other,68794
유과,名詞,ユグァ【油菓】,米粉や小麦粉を練って、形を作って、油で揚げた後、蜂蜜や水飴を塗って、胡麻などを付けた韓国の伝統菓子。,名詞 other,69747
유라시아,名詞,ユーラシア,ヨーロッパとアジアを併せ持つ名前。,名詞 other,601397
유럽,名詞,ヨーロッパ【欧羅巴】,"アジアの西北部にある六大洲の一。ウラル山脈を挟んでアジアと隣接しており、フランス、ドイツ、イタリアなどの国が位置している。
",名詞 other,68438
육개장,名詞,ユッケジャン,細長めに切ったゆで牛肉に辛めの味付けをして煮込んだ汁。,名詞 other,70867
